sec,x,y
39.0,2.17095,7.6643
40.0,2.18201,7.66226
41.0,2.19255,7.6588
42.0,2.20093,7.6562
43.0,2.21328,7.65334
44.0,2.22417,7.64945
45.0,2.23179,7.645
46.0,2.23789,7.63939
47.0,2.24578,7.63257
48.0,2.24996,7.6255
49.0,2.25184,7.6179
50.0,2.24768,7.61146
51.0,2.24603,7.6066
52.0,2.24819,7.60001
53.0,2.24263,7.59283
54.0,2.23481,7.58395
55.0,2.22573,7.57421
56.0,2.21521,7.5635
57.0,2.20152,7.5511
58.0,2.18638,7.53778
59.0,2.16794,7.52435
60.0,2.14787,7.50815
61.0,2.1244,7.49408
62.0,2.09888,7.48324
63.0,2.07364,7.46934
64.0,2.05489,7.46099
65.0,2.0404,7.45893
66.0,2.02819,7.46265
67.0,2.01383,7.4644
68.0,2.00154,7.46776
69.0,1.98907,7.4762
70.0,1.98258,7.48503
71.0,1.97863,7.49423
72.0,1.97711,7.50186
73.0,1.98111,7.51316
74.0,1.98752,7.52612
75.0,1.99644,7.53657
76.0,2.01327,7.53698
77.0,2.03833,7.54155
78.0,2.06943,7.54475
79.0,2.10811,7.54548
80.0,2.14832,7.54731
81.0,2.19325,7.54468
82.0,2.24262,7.54111
83.0,2.29445,7.54017
84.0,2.34628,7.53388
85.0,2.40187,7.52383
86.0,2.45549,7.51701
87.0,2.50931,7.50936
88.0,2.55966,7.50166
89.0,2.60841,7.48819
90.0,2.65285,7.47448
91.0,2.68971,7.46564
92.0,2.71542,7.45312
93.0,2.73639,7.43061
94.0,2.75121,7.40945
95.0,2.76643,7.38882
96.0,2.78002,7.37001
97.0,2.79009,7.35246
98.0,2.79125,7.33355
99.0,2.79603,7.3226
100.0,2.79726,7.31156
101.0,2.80026,7.29747
102.0,2.80552,7.28247
103.0,2.80973,7.27203
104.0,2.8127,7.25834
105.0,2.80757,7.24254
106.0,2.79435,7.22527
107.0,2.7827,7.20794
108.0,2.77831,7.19129
109.0,2.77316,7.17096
110.0,2.77277,7.14828
111.0,2.773,7.12293
112.0,2.77831,7.10212
113.0,2.78767,7.08235
114.0,2.80234,7.06453
115.0,2.81941,7.04637
116.0,2.84368,7.02127
117.0,2.8664,6.99404
118.0,2.89433,6.96746
119.0,2.91989,6.94076
120.0,2.94788,6.91405
121.0,2.97556,6.88837
122.0,3.00307,6.86468
123.0,3.03092,6.84237
124.0,3.05934,6.81942
125.0,3.08489,6.79936
126.0,3.11121,6.78394
127.0,3.13692,6.77005
128.0,3.15994,6.75832
129.0,3.18157,6.74844
130.0,3.19908,6.74082
131.0,3.22195,6.73348
132.0,3.24685,6.7224
133.0,3.27061,6.71623
134.0,3.29275,6.71097
135.0,3.3197,6.70816
136.0,3.34498,6.71425
137.0,3.37018,6.72164
138.0,3.38915,6.73108
139.0,3.40694,6.74223
140.0,3.42575,6.75628
141.0,3.4401,6.77322
142.0,3.45077,6.79419
143.0,3.45968,6.81255
144.0,3.46629,6.83164
145.0,3.47187,6.85125
146.0,3.47462,6.87048
147.0,3.47488,6.89864
148.0,3.47654,6.92688
149.0,3.47779,6.9551
150.0,3.47603,6.98164
151.0,3.4708,7.00436
152.0,3.46495,7.02406
153.0,3.45917,7.04127
154.0,3.45631,7.06091
155.0,3.45093,7.07646
156.0,3.44372,7.09078
157.0,3.4398,7.09231
158.0,3.43671,7.09122
159.0,3.43536,7.0894
160.0,3.43481,7.08681
161.0,3.43236,7.08723
162.0,3.42708,7.09096
163.0,3.42189,7.09698
164.0,3.40999,7.09977
165.0,3.39876,7.10425
166.0,3.38985,7.10627
167.0,3.37612,7.11268
168.0,3.36354,7.11763
169.0,3.34788,7.11813
170.0,3.3331,7.1177
171.0,3.32366,7.11539
172.0,3.31959,7.11066
173.0,3.31407,7.10076
174.0,3.31343,7.08942
175.0,3.31043,7.07392
176.0,3.30624,7.05876
177.0,3.3037,7.04225
178.0,3.29782,7.02388
179.0,3.29345,7.01155
180.0,3.28527,7.00038
181.0,3.27604,6.99258
182.0,3.26615,6.98642
183.0,3.25028,6.9872
184.0,3.2296,6.98908
185.0,3.20762,6.99485
186.0,3.18684,7.00016
187.0,3.16639,7.00712
188.0,3.14829,7.01664
189.0,3.12975,7.02401
190.0,3.11533,7.03288
191.0,3.10121,7.03931
192.0,3.0854,7.04401
193.0,3.07648,7.04603
194.0,3.07306,7.05125
195.0,3.07292,7.05781
196.0,3.07184,7.06469
197.0,3.07,7.07235
198.0,3.06533,7.08264
199.0,3.0612,7.0918
200.0,3.05593,7.0979
201.0,3.05126,7.10447
202.0,3.04223,7.11045
203.0,3.03383,7.11611
204.0,3.02346,7.11751
205.0,3.01072,7.11752
206.0,3.00257,7.11633
207.0,2.99515,7.11238
208.0,2.992,7.10597
209.0,2.98648,7.0992
210.0,2.98515,7.09784
211.0,2.98649,7.09739
212.0,2.99571,7.09702
213.0,3.0094,7.09597
214.0,3.02487,7.09993
215.0,3.04642,7.10487
216.0,3.06478,7.11295
217.0,3.0866,7.1226
218.0,3.10827,7.13368
219.0,3.13431,7.14523
220.0,3.16305,7.15149
221.0,3.18903,7.15665
222.0,3.21138,7.1632
223.0,3.22907,7.17458
224.0,3.25051,7.18088
225.0,3.26807,7.18608
226.0,3.28874,7.19256
227.0,3.30899,7.19855
228.0,3.32776,7.20304
229.0,3.34463,7.20779
230.0,3.35567,7.21374
231.0,3.36569,7.21963
