sec,x,y
1.0,1.79366,4.71944
2.0,1.80451,4.72154
3.0,1.81729,4.72249
4.0,1.83274,4.72715
5.0,1.85048,4.73525
6.0,1.86352,4.74678
7.0,1.87972,4.757
8.0,1.89982,4.77422
9.0,1.91118,4.78508
10.0,1.91266,4.79238
11.0,1.91494,4.8003
12.0,1.91878,4.8122
13.0,1.91811,4.83131
14.0,1.9122,4.85016
15.0,1.90106,4.86705
16.0,1.89472,4.88378
17.0,1.88719,4.9085
18.0,1.87312,4.92683
19.0,1.86149,4.94745
20.0,1.85318,4.97254
21.0,1.83829,5.00295
22.0,1.82182,5.03673
23.0,1.80619,5.06566
24.0,1.78631,5.09349
25.0,1.77133,5.12206
26.0,1.75092,5.14621
27.0,1.72587,5.16757
28.0,1.69938,5.18869
29.0,1.66598,5.20832
30.0,1.63013,5.22424
31.0,1.59536,5.23621
32.0,1.55983,5.24781
33.0,1.52596,5.25714
34.0,1.49328,5.26528
35.0,1.45842,5.27501
36.0,1.42225,5.28773
37.0,1.39097,5.29512
38.0,1.36425,5.30324
39.0,1.33824,5.31778
40.0,1.31121,5.33452
41.0,1.28989,5.35238
42.0,1.26607,5.36302
43.0,1.23909,5.37355
44.0,1.2144,5.38037
45.0,1.18881,5.38491
46.0,1.16926,5.38949
47.0,1.14081,5.39363
48.0,1.11323,5.39566
49.0,1.08624,5.39239
50.0,1.06361,5.38569
51.0,1.03608,5.37546
52.0,1.00924,5.3672
53.0,0.98372,5.36117
54.0,0.958598,5.35914
55.0,0.93303,5.35722
56.0,0.908274,5.34981
57.0,0.889857,5.3462
58.0,0.868319,5.34418
59.0,0.8526,5.3405
60.0,0.836712,5.33778
61.0,0.823476,5.33672
62.0,0.810183,5.3391
63.0,0.80078,5.33863
64.0,0.796586,5.33669
65.0,0.794012,5.32994
66.0,0.791944,5.3267
67.0,0.795936,5.32411
68.0,0.801726,5.32226
69.0,0.813376,5.32253
70.0,0.822787,5.32634
71.0,0.835088,5.32755
72.0,0.855634,5.32963
73.0,0.873066,5.33502
74.0,0.885753,5.34212
75.0,0.896188,5.35429
76.0,0.901518,5.36671
77.0,0.902615,5.3765
78.0,0.899903,5.38538
79.0,0.897124,5.39747
80.0,0.895578,5.40697
81.0,0.895554,5.41931
82.0,0.895425,5.42839
83.0,0.895939,5.43705
84.0,0.89436,5.44568
85.0,0.892886,5.45634
86.0,0.897268,5.46962
87.0,0.903201,5.48433
88.0,0.911622,5.49616
89.0,0.906863,5.50603
90.0,0.899748,5.52186
91.0,0.882528,5.53767
92.0,0.860005,5.55327
93.0,0.838287,5.56594
94.0,0.822288,5.57622
95.0,0.808966,5.58242
96.0,0.794656,5.58437
97.0,0.773933,5.58649
98.0,0.755365,5.59675
99.0,0.745008,5.60116
100.0,0.73167,5.60205
101.0,0.722989,5.6048
102.0,0.709329,5.61649
103.0,0.679019,5.63278
104.0,0.642851,5.64684
105.0,0.596815,5.66544
106.0,0.549843,5.68569
107.0,0.50992,5.70718
108.0,0.468356,5.72425
109.0,0.415231,5.74564
110.0,0.367835,5.76493
111.0,0.323368,5.77958
112.0,0.280842,5.78688
113.0,0.252252,5.79328
114.0,0.226968,5.80194
115.0,0.205954,5.80504
116.0,0.177957,5.80906
117.0,0.147411,5.81435
118.0,0.113584,5.81688
119.0,0.0837175,5.81557
120.0,0.0569963,5.81468
121.0,0.0279768,5.81496
122.0,0.00869232,5.81317
123.0,-0.00150996,5.8057
124.0,-0.00803043,5.80036
125.0,-0.00791471,5.79542
126.0,-0.00280176,5.79088
127.0,0.00502953,5.77551
128.0,0.0181109,5.76156
129.0,0.0337011,5.7481
130.0,0.0483928,5.73298
131.0,0.061911,5.72178
132.0,0.0682677,5.71057
133.0,0.0671927,5.70407
134.0,0.0624237,5.69484
135.0,0.0531016,5.68802
136.0,0.0507217,5.67824
137.0,0.0451003,5.67555
138.0,0.0361768,5.67409
139.0,0.0305558,5.67682
140.0,0.0245615,5.67995
141.0,0.0173972,5.68295
142.0,0.009077,5.68966
143.0,0.00715925,5.69401
144.0,-0.00028115,5.69898
145.0,-0.001866,5.69827
146.0,-0.0078399,5.69718
147.0,-0.0135456,5.69575
148.0,-0.0221383,5.69521
149.0,-0.0266432,5.69468
150.0,-0.0363033,5.69336
151.0,-0.0416153,5.69104
152.0,-0.0439591,5.68534
153.0,-0.0514477,5.68486
154.0,-0.0549164,5.68344
155.0,-0.0671544,5.68727
156.0,-0.0799206,5.69693
157.0,-0.0939233,5.70708
158.0,-0.103209,5.71872
159.0,-0.116628,5.73246
160.0,-0.125468,5.74753
161.0,-0.134556,5.76106
162.0,-0.143676,5.78012
163.0,-0.153742,5.7986
164.0,-0.166645,5.81882
165.0,-0.172314,5.8374
166.0,-0.179354,5.85111
167.0,-0.188043,5.86477
168.0,-0.201706,5.87295
169.0,-0.214301,5.88244
170.0,-0.233481,5.89961
171.0,-0.252585,5.91391
172.0,-0.270988,5.92283
173.0,-0.294662,5.93032
174.0,-0.313786,5.94506
175.0,-0.340764,5.96185
176.0,-0.363095,5.9811
177.0,-0.387056,6.00238
178.0,-0.39712,6.02648
179.0,-0.409529,6.04293
180.0,-0.419218,6.05346
181.0,-0.432365,6.07214
182.0,-0.445609,6.09228
183.0,-0.453142,6.11066
184.0,-0.459454,6.12165
185.0,-0.459322,6.13103
