sec,x,y
1.0,1.09627,3.94591
2.0,1.09871,3.9572
3.0,1.10605,3.96721
4.0,1.12143,3.97955
5.0,1.14089,3.99282
6.0,1.16448,4.00975
7.0,1.18435,4.02706
8.0,1.20613,4.04613
9.0,1.21541,4.05318
10.0,1.22222,4.05724
11.0,1.23483,4.05746
12.0,1.25257,4.05731
13.0,1.26482,4.05786
14.0,1.26945,4.06325
15.0,1.26786,4.05903
16.0,1.26446,4.049
17.0,1.26351,4.03671
18.0,1.25932,4.02003
19.0,1.25778,4.00135
20.0,1.25655,3.98053
21.0,1.25513,3.95824
22.0,1.25098,3.93948
23.0,1.24407,3.9198
24.0,1.23752,3.89295
25.0,1.23452,3.87366
26.0,1.22972,3.85364
27.0,1.22823,3.83861
28.0,1.23093,3.82508
29.0,1.23521,3.81537
30.0,1.23664,3.80711
31.0,1.23798,3.79851
32.0,1.24032,3.78667
33.0,1.24649,3.77317
34.0,1.25011,3.75531
35.0,1.25208,3.73811
36.0,1.25137,3.72297
37.0,1.25115,3.70348
38.0,1.25162,3.68422
39.0,1.24988,3.66769
40.0,1.24805,3.65292
41.0,1.24664,3.64338
42.0,1.24705,3.63232
43.0,1.24748,3.62442
44.0,1.24774,3.62024
45.0,1.2484,3.61714
46.0,1.25129,3.6193
47.0,1.25086,3.62354
48.0,1.25128,3.62438
49.0,1.24844,3.62106
50.0,1.24994,3.61585
51.0,1.25068,3.60743
52.0,1.24749,3.59755
53.0,1.24332,3.58622
54.0,1.23928,3.56999
55.0,1.23433,3.55147
56.0,1.22428,3.52655
57.0,1.21335,3.50227
58.0,1.19353,3.48261
59.0,1.17613,3.46327
60.0,1.15351,3.44166
61.0,1.1315,3.42075
62.0,1.10734,3.4012
63.0,1.08364,3.38208
64.0,1.05933,3.36842
65.0,1.03578,3.35374
66.0,1.01924,3.33816
67.0,1.00769,3.32048
68.0,1.0002,3.30309
69.0,1.00019,3.29038
70.0,1.00161,3.28312
71.0,1.00187,3.27423
72.0,1.00386,3.26684
73.0,1.003,3.26097
74.0,1.0059,3.25465
75.0,1.01104,3.2515
76.0,1.01548,3.24809
77.0,1.01559,3.24366
78.0,1.01384,3.23898
79.0,1.00752,3.22882
80.0,1.00244,3.21728
81.0,1.00068,3.20879
82.0,1.00702,3.20116
83.0,1.01574,3.19276
84.0,1.02417,3.18344
85.0,1.03155,3.17829
86.0,1.03856,3.17732
87.0,1.04963,3.17711
88.0,1.06782,3.17461
89.0,1.08506,3.17486
90.0,1.10054,3.17644
91.0,1.11196,3.17462
92.0,1.11908,3.17098
93.0,1.12684,3.1643
94.0,1.13735,3.15716
95.0,1.14458,3.1458
96.0,1.15303,3.13391
97.0,1.15504,3.12209
98.0,1.15068,3.10889
99.0,1.14602,3.09407
100.0,1.1456,3.07483
101.0,1.14503,3.05649
102.0,1.14838,3.03942
103.0,1.14846,3.02396
104.0,1.14451,3.0097
105.0,1.14149,2.99472
106.0,1.13687,2.97836
107.0,1.13783,2.96368
108.0,1.13907,2.95066
109.0,1.13945,2.9407
110.0,1.1365,2.93452
111.0,1.13393,2.92786
112.0,1.12608,2.91383
113.0,1.1243,2.89856
114.0,1.12455,2.8779
115.0,1.12446,2.85482
116.0,1.12705,2.82506
117.0,1.12314,2.79452
118.0,1.12374,2.76531
119.0,1.12497,2.73257
120.0,1.12167,2.69651
121.0,1.11758,2.662
122.0,1.11128,2.6314
123.0,1.1034,2.599
124.0,1.08883,2.56908
125.0,1.07378,2.53902
126.0,1.05423,2.51467
127.0,1.05001,2.47619
128.0,1.04252,2.44146
129.0,1.03259,2.4064
130.0,1.02819,2.37118
131.0,1.02265,2.33936
132.0,1.01725,2.30981
133.0,1.00456,2.28944
134.0,0.99521,2.27411
135.0,0.986011,2.26073
136.0,0.973445,2.24693
137.0,0.940947,2.24473
138.0,0.904381,2.23974
139.0,0.868782,2.23615
140.0,0.835211,2.23094
141.0,0.805429,2.22626
142.0,0.773227,2.22228
143.0,0.742934,2.20866
144.0,0.708678,2.19524
145.0,0.671088,2.18083
146.0,0.632218,2.16844
147.0,0.598402,2.15652
148.0,0.561715,2.14602
149.0,0.523651,2.13838
150.0,0.478975,2.13483
151.0,0.4316,2.1301
152.0,0.383228,2.12926
153.0,0.338107,2.13447
154.0,0.29395,2.14063
155.0,0.252816,2.14671
156.0,0.211389,2.15333
157.0,0.170516,2.15972
158.0,0.131157,2.17222
159.0,0.0910733,2.18755
160.0,0.0541757,2.20352
161.0,0.0134206,2.21359
162.0,-0.0229783,2.22029
163.0,-0.0669498,2.23241
164.0,-0.109867,2.24516
165.0,-0.149622,2.26271
166.0,-0.184945,2.28086
167.0,-0.221144,2.30212
168.0,-0.255079,2.31505
169.0,-0.290132,2.32559
170.0,-0.327311,2.33585
171.0,-0.362441,2.35446
172.0,-0.400161,2.37504
173.0,-0.428841,2.38964
174.0,-0.45252,2.40573
175.0,-0.474052,2.42252
176.0,-0.496652,2.43761
177.0,-0.511286,2.45284
178.0,-0.520903,2.46417
179.0,-0.526514,2.47579
180.0,-0.530679,2.48418
181.0,-0.531009,2.49192
182.0,-0.527119,2.49871
183.0,-0.523954,2.50526
184.0,-0.522267,2.50708
185.0,-0.523785,2.50541
