Object,Start,End,Count,Surface area,Flat area,Volume,
d03,64,202,140,15.6768,47.3489,2.27275,
d03__teamsymmquestion_r-maybephp,157,157,1,0.0169105,0.00976641,0.000468788,
d03__teamsymmquestion_SAorSER?,122,122,1,0.0472455,0.072788,0.00349382,
d03__teamsymmquestionrb14,145,145,1,0.0217314,0.0162817,0.00078152,
d03__teamsymmquestion-rmaybe-php,166,166,1,0.0223354,0.0164066,0.000787515,
d03__teamsymmquestionrn15,152,152,1,0.0239157,0.0193514,0.000928868,
d03__teamsymmquestionrs01,77,78,2,0.04552,0.0357479,0.0017159,
d03_aspiny1,119,125,7,0.704854,1.92687,0.0924898,
d03_aspiny2,155,159,5,0.586383,1.87863,0.0901741,
d03_c10,116,124,17,0.7138,0.605526,0.0290653,
d03_c11,132,135,4,0.101655,0.073521,0.00352901,
d03_c12,132,135,4,0.121389,0.088343,0.00424046,
d03_c13a_spiney_sa,140,143,4,0.088099,0.0528578,0.00253717,
d03_c13b_spiney_sa,142,142,1,0.0198087,0.0112885,0.000541846,
d03_c14,143,148,6,0.20555,0.139388,0.00669062,
d03_c15a,140,142,3,0.0676979,0.0395743,0.00189957,
d03_c15b,150,153,4,0.0686388,0.0380029,0.00182414,
d03_c15c,161,164,4,0.123385,0.0733604,0.0035213,
d03_COPY_centroid,110,110,1,0.0884516,0.221585,0.0106361,
d03_INC,1,66,28,0.761529,0.149039,0.00715388,
d03_p13_3D_forSpPr figure,137,144,13,1.23758,2.82608,0.135652,
d03_p13_3D_prrh13_1,138,138,1,0.00349725,0.000398379,1.91222e-05,
d03_p13_3D_prrh13_2,139,139,1,0.0034975,0.000398434,1.91248e-05,
d03_p13_3D_prrh13_3,139,139,1,0.00349638,0.000398177,1.91125e-05,
d03_p13_3D_prrh13_4,139,139,1,0.00349759,0.000398456,1.91259e-05,
d03_p13_3D_prrh13_5,139,139,1,0.00349622,0.000398135,1.91105e-05,
d03_p13_3D_prrh13_6,139,139,1,0.00349656,0.000398212,1.91142e-05,
d03_p13_3D_prrh13_7,139,139,1,0.00349645,0.000398192,1.91132e-05,
d03_p13_3D_prrh13_8,139,139,1,0.00349776,0.000398495,1.91278e-05,
d03_p13_3D_prrh13_9,139,139,1,0.00349664,0.000398231,1.91151e-05,
d03_p13_3D_scale,138,138,1,0.0230563,0.0144079,0.00069158,
d03_p13_3Dpr_c13a,139,142,4,0.0885774,0.0528192,0.00253532,
d03_p13_3Dpr_c13b,142,143,2,0.041144,0.0224177,0.00107605,
d03_p13_shaftSER_3D,138,144,28,0.286625,0.0806537,0.00387138,
d03_p21_INC,190,195,6,0.0699274,0.00487145,0.00023383,
d03_p22_INC,195,197,3,0.038423,0.00294166,0.0001412,
d03_p23_INC,198,199,2,0.0119973,0.000430069,2.06433e-05,
d03_rn15_r1,152,152,1,0.00558728,0.00101682,4.88075e-05,
d03_rn15_r2,152,152,1,0.00558761,0.00101693,4.88127e-05,
d03_rn15_r3,152,152,1,0.00558781,0.00101699,4.88156e-05,
d03_rn15_r4,152,152,1,0.00558729,0.00101681,4.88069e-05,
d03_rn15_r5,152,152,1,0.00558743,0.00101687,4.88098e-05,
d03_rn15_r6,153,153,1,0.0056373,0.00103499,4.96793e-05,
d03_rn15_r7,153,153,1,0.00563734,0.00103499,4.96793e-05,
d03_rs02_r1,137,137,1,0.00458223,0.000683888,3.28266e-05,
d03_rs02_r2,138,138,1,0.00458247,0.000683973,3.28307e-05,
d03_rs02_r3,138,138,1,0.00458251,0.000683987,3.28314e-05,
d03_rs02_r4,138,138,1,0.00458237,0.000683933,3.28288e-05,
d03_rs02_r5,138,138,1,0.00458156,0.000683687,3.2817e-05,
d03_rs03_r1,140,140,1,0.00434069,0.000613695,2.94573e-05,
d03_rs03_r2,140,140,1,0.00434145,0.000613906,2.94675e-05,
d03_rs03_r3,140,140,1,0.00434174,0.000614002,2.94721e-05,
d03_rs03_r4,140,140,1,0.0043414,0.000613894,2.94669e-05,
d03_scaleSect150,150,150,1,0.0191905,0.0191905,0,
d03_SER,116,159,166,2.08161,0.692244,0.0332277,
d03_SER_spiney_sa,134,144,43,0.411431,0.122222,0.00586667,
d03_sp01,86,86,1,0.0427052,0.0548489,0.00263275,
d03_sp01_branched,72,80,9,0.462994,0.543785,0.0261017,
d03_sp01a,67,75,11,0.600358,0.85396,0.0409901,
d03_sp01b,76,87,12,0.516611,0.600403,0.0288194,
d03_sp02,74,81,12,0.496573,0.603656,0.0289755,
d03_sp03,81,88,9,0.327608,0.275345,0.0132166,
d03_sp05,94,110,18,1.44328,2.21907,0.106516,
d03_sp06,93,106,14,0.577144,0.631229,0.030299,
d03_sp07,102,111,10,0.345392,0.300775,0.0144372,
d03_sp08,110,123,15,1.92127,4.25602,0.204289,
d03_sp09,112,118,8,0.283606,0.286935,0.0137729,
d03_sp10,112,131,21,2.69315,5.83287,0.279978,
d03_sp11,130,135,6,0.344706,0.398442,0.0191252,
d03_sp12,132,141,10,0.647674,0.897206,0.0430659,
d03_sp13,136,144,11,0.517686,0.611038,0.0293298,
d03_sp14,138,149,15,1.16378,1.68976,0.0811087,
