section,Trace,Comment,Length,Area,Thickness,
1,d03_INC,,0.651203,0.00584039,0.048,
2,d03_INC,,0.651167,0.00584094,0.048,
3,d03_INC,,0.651201,0.00584042,0.048,
4,d03_INC,,0.651201,0.00584042,0.048,
5,d03_INC,,0.651167,0.00584094,0.048,
6,d03_INC,,0.651167,0.00584094,0.048,
7,d03_INC,,0.651167,0.00584094,0.048,
8,d03_INC,,0.651203,0.00584039,0.048,
9,d03_INC,,0.65118,0.0058403,0.048,
10,d03_INC,,0.651206,0.00584043,0.048,
11,d03_INC,,0.651203,0.00584039,0.048,
12,d03_INC,,0.651201,0.00584042,0.048,
13,d03_INC,,0.651168,0.0058409,0.048,
14,d03_INC,,0.651206,0.00584043,0.048,
21,d03_INC,,0.221411,0.000674937,0.048,
22,d03_INC,,0.221408,0.000675335,0.048,
23,d03_INC,,0.2214,0.000675145,0.048,
24,d03_INC,,0.221412,0.000675336,0.048,
25,d03_INC,,0.221409,0.000675321,0.048,
26,d03_INC,,0.221398,0.000675157,0.048,
59,d03_INC,,0.549469,0.00415839,0.048,
60,d03_INC,,0.549509,0.00415933,0.048,
61,d03_INC,,0.549509,0.00415933,0.048,
62,d03_INC,,0.54951,0.0041593,0.048,
62,D03dia1,,0.52657,0,0.048,
63,d03_INC,,0.549501,0.00415891,0.048,
64,d03,,2.87784,0.348378,0.048,
64,d03_INC,,0.549509,0.00415933,0.048,
65,d03,,2.62644,0.344286,0.048,
65,d03_INC,,0.549501,0.00415886,0.048,
66,d03,,2.49713,0.324355,0.048,
66,d03_INC,,1.57361,0.0341062,0.048,
67,d03,,2.35074,0.311173,0.048,
67,d03_sp01a,,0.864481,0.0199742,0.048,
68,d03,,2.35143,0.323174,0.048,
68,d03_sp01a,,1.67364,0.10279,0.048,
69,d03,,2.41641,0.328798,0.048,
69,d03_sp01a,,2.193,0.168613,0.048,
70,d03,,2.38719,0.351121,0.048,
70,d03_sp01a,,0.59388,0.0229181,0.048,
70,d03_sp01a,,1.62486,0.15185,0.048,
71,d03,,2.4712,0.380716,0.048,
71,d03_sp01a,,0.635444,0.0239838,0.048,
71,d03_sp01a,,1.53598,0.151835,0.048,
71,d03p01,,0.114399,0.000982128,0.048,
72,d03,,2.62449,0.398875,0.048,
