section,Trace,Comment,Length,Area,Thickness,
1,d004,,3.04233,0.458864,0.043,
1,d004_o01_INC,,0.204827,0.00057702,0.043,
1,d004_p02,,0.449982,0.0148794,0.043,
1,d004_p06,,1.0253,0.0631593,0.043,
2,d004,,3.07791,0.502498,0.043,
2,d004_o01_INC,,0.204661,0.00057811,0.043,
2,d004_p02,,0.918532,0.0535612,0.043,
2,d004_p06,,1.16794,0.0645946,0.043,
3,d004,,3.08552,0.531385,0.043,
3,d004_c02b,,0.464435,0.0153853,0.043,
3,d004_cfa02b,,0.123504,0,0.043,
3,d004_o01_INC,,0.204977,0.000580015,0.043,
3,d004_p02,,1.06387,0.0697709,0.043,
3,d004_p06,,1.32514,0.0654352,0.043,
4,d004,,3.09781,0.560611,0.043,
4,d004_c02b,,0.853643,0.0468646,0.043,
4,d004_cfa02b,,0.288643,0,0.043,
4,d004_p02,,1.11446,0.0768965,0.043,
4,d004_p06,,1.00177,0.0547567,0.043,
4,d004_rs01_exclude,,0.315673,0.00779278,0.043,
5,d004,,3.29677,0.571666,0.043,
5,d004_c02b,,0.886683,0.049685,0.043,
5,d004_cfa02b,,0.309421,0,0.043,
5,d004_o02_BRANCHED,,0.100857,0.000488865,0.043,
5,d004_p02,,0.369142,0.00897217,0.043,
5,d004_p02,,1.19162,0.0778971,0.043,
5,d004_p06,,1.08021,0.0605702,0.043,
5,d004_rs01_exclude,,0.430496,0.0146074,0.043,
6,d004,,3.03705,0.532743,0.043,
6,d004_c02b,,0.743986,0.0355529,0.043,
6,d004_c06,,0.558149,0.0219327,0.043,
6,d004_cfa02b,,0.262102,0,0.043,
6,d004_cfa06,,0.175339,0,0.043,
6,d004_o02_BRANCHED,,0.101032,0.0004905,0.043,
6,d004_p02,,2.12746,0.12454,0.043,
6,d004_p03,,0.326041,0.00682223,0.043,
6,d004_p06,,1.09597,0.0668106,0.043,
6,d004_rs01_exclude,,0.430496,0.0146074,0.043,
7,d004,,3.06055,0.541829,0.043,
