Object,Start,End,Count,Surface area,Flat area,Volume,
d05,88,202,115,15.0785,50.3384,2.41624,
d05__teamsymmquestionrb06,116,116,1,0.0215825,0.0160443,0.000770127,
d05__teamsymmquestionrh05,94,94,1,0.0220186,0.0156649,0.000751916,
d05__teamsymmquestionrs?,172,172,1,0.0204261,0.0143934,0.000690882,
d05__teamsymmquestionrs02,106,106,1,0.0210971,0.0141454,0.00067898,
d05__teamsymmquestionrs03,176,178,3,0.0833994,0.0795751,0.00381961,
d05_INC,93,198,7,0.105322,0.00999525,0.000479772,
d05_p20_INC,190,190,1,0.0151373,0.00137005,6.57622e-05,
d05_p24_INC,195,198,4,0.0286054,0.00122293,5.87005e-05,
d05_scalecube,150,150,1,0.042047,0.0266443,0.00127892,
d05_sp01,90,98,11,0.521062,0.663771,0.031861,
d05_sp02,103,106,4,0.198344,0.147835,0.00709608,
d05_sp03,98,106,10,0.556054,0.766825,0.0368076,
d05_sp04,108,130,25,0.867544,1.00386,0.0481855,
d05_sp05,93,115,28,1.20618,1.50533,0.0722559,
d05_sp06,114,120,10,0.694092,0.745721,0.0357946,
d05_sp08,125,140,17,0.644037,0.710112,0.0340854,
d05_sp09,115,130,17,0.670958,0.724198,0.0347615,
d05_sp10,131,148,24,0.866484,0.832886,0.0399785,
d05_sp11,126,147,24,3.45828,7.83727,0.376189,
d05_sp14,150,174,25,2.5809,6.20737,0.297954,
d05_sp15,148,159,13,0.769844,0.989939,0.0475171,
d05_sp16,154,163,10,0.457471,0.529797,0.0254303,
d05_sp17,165,172,9,0.515193,0.735586,0.0353081,
d05_sp18,170,190,26,2.94627,5.73103,0.275089,
d05_sp19,184,192,9,0.654599,0.850546,0.0408262,
d05_sp20_inc,190,202,14,1.36447,3.69355,0.17729,
d05_sp21,161,167,7,0.392674,0.472004,0.0226562,
d05_sp22_inc,93,94,2,0.0543661,0.0350109,0.00168052,
d05_sp23,169,183,15,0.689887,0.851883,0.0408904,
d05_sp24,195,202,9,1.0033,2.49029,0.119534,
d05c01,91,94,4,0.111576,0.0751454,0.00360698,
d05c03,100,105,6,0.22003,0.211528,0.0101533,
d05c04,129,131,3,0.121137,0.161047,0.00773025,
d05c05,94,98,5,0.152903,0.131431,0.00630867,
d05c06,114,117,4,0.111581,0.0907808,0.00435748,
d05c07_sym,118,122,5,0.155006,0.141315,0.00678312,
d05c08,133,137,5,0.140164,0.115233,0.00553118,
d05c09,116,119,4,0.0999143,0.0784807,0.00376707,
d05c10,142,146,5,0.123049,0.0957594,0.00459645,
d05c11,131,145,24,1.30605,1.82038,0.0873782,
d05c13_sym,148,153,6,0.197175,0.171917,0.00825201,
d05c14,160,167,9,0.607688,0.916405,0.0439875,
d05c15,150,154,5,0.153255,0.145944,0.00700529,
