Z-Trace,Start,End,Length,
d06_Z,39,231,11.018,
d06_Z smooth10,39,231,9.68101,
d06_Z smooth10_analyzed_length,58,224,8.46008,
d06zlen_down1,39,224,9.19518,
d06zlen_down2,39,224,9.27076,
d06zlen_up1,39,224,9.15121,
d06zlen_up2,39,224,9.15098,
