Object,Start,End,Count,Surface area,Flat area,Volume,
d005_o12,41,42,2,0.00846639,0.00095172,4.61717e-05,
d005_o13,42,50,9,0.0340665,0.00263279,0.000127727,
d005_o14,45,49,5,0.0172895,0.0015876,7.70208e-05,
d005_o15_inc,46,51,6,0.0646563,0.00407926,0.000197901,
domain1,4,4,1,0.628124,12.1124,0.587623,
Kristen Test,3,3,1,0.118053,0.464763,0.0225475,
mito01,3,7,5,0.0493416,0.0493416,0,
mito02,2,9,8,0.0925876,0.0925876,0,
mito03,14,19,6,0.0630931,0.0630931,0,
mito04,23,27,5,0.0543,0.0543,0,
mito05,24,29,6,0.0612801,0.0612801,0,
mito06,25,31,7,0.0629813,0.0629813,0,
mito07,34,39,6,0.0806849,0.0806849,0,
mito08,30,35,6,0.0822823,0.0822823,0,
mito09,24,30,7,0.0936531,0.0936531,0,
mito10,44,48,5,0.0456256,0.0456256,0,
PRexample,44,44,1,0.00120282,1.636e-05,7.93689e-07,
sym_CAND_1_nonspiny dendrite,22,24,3,0.129621,0.180204,0.00874243,
sym_CAND_2,28,30,3,0.158553,0.220114,0.0106786,
sym_CAND_3,23,25,3,0.144992,0.159639,0.00774474,
sym_CAND_4_investigate,30,30,1,0.0815953,0.224984,0.0109149,
sym_CAND_5_investigate,31,31,1,0.0782516,0.201358,0.00976867,
sym_CAND_7_investigate,32,32,1,0.0979068,0.305428,0.0148175,
sym_CAND_8_investigate,42,42,1,0.088743,0.261241,0.0126738,
sym_CAND_9_investigate,30,30,1,0.0783156,0.206613,0.0100236,
TEM FIELD,1,51,51,88.9851,4111.78,199.479,
