Object,Start,End,Count,Surface area,Flat area,Volume,
d07,39,231,197,20.9518,62.9537,2.86816,
d07__cluster1begin,137,137,1,0.0371023,0.0472135,0.00212461,
d07__cluster1end,219,219,1,0.0357558,0.0440034,0.00198015,
d07__teamsymmquestionrb20_exclude,118,118,1,0.0125798,0.00615988,0.000277195,
d07__teamsymmquestionrh18_exclude,107,107,1,0.0159011,0.00991518,0.000446183,
d07__teamsymmquestionrh21_nah_exclude,122,122,1,0.0158201,0.00953661,0.000429147,
d07__teamsymmquestionSERortubule?_exclude,125,125,1,0.0357501,0.0477922,0.00215065,
d07_cl00_syn_INC,88,136,49,6.76932,18.1462,0.816577,
d07_cl01_asyn,137,143,7,0.50549,1.18308,0.0532385,
d07_cl02_syn_symm,144,185,42,6.50129,18.5708,0.835684,
d07_cl03_asyn,186,189,4,0.45708,1.23139,0.0554127,
d07_cl04_syn,190,216,27,4.19046,10.502,0.472588,
d07_cl05_asyn,217,219,3,0.30625,0.939133,0.042261,
d07_cl06_syn_INC,220,220,1,0.113137,0.357269,0.0160771,
d07_delete,92,97,6,0.0774238,0.0774238,0,
d07_INC,136,220,2,0.086894,0.027573,0.00124078,
d07_p42,231,231,1,0.00353115,0.000295899,1.33155e-05,
d07_p42_INC,231,231,1,0.00717114,0.000349673,1.57353e-05,
d07_sp01,39,58,20,1.63179,2.75,0.12375,
d07_sp02,45,58,14,0.476442,0.544125,0.0244856,
d07_sp03,48,57,10,0.54293,0.599073,0.0269583,
d07_sp04,54,62,9,0.465396,0.515187,0.0231834,
d07_sp05,52,61,10,0.244153,0.193285,0.00869784,
d07_sp07,52,66,21,0.747085,0.806406,0.0362883,
d07_sp08,53,67,15,0.453113,0.403934,0.018177,
d07_sp09,70,75,9,0.389901,0.436585,0.0196463,
d07_sp10,72,80,10,0.431647,0.502567,0.0226155,
d07_sp11,69,76,8,0.380158,0.509151,0.0229118,
d07_sp12,76,89,14,0.816896,0.978928,0.0510921,
d07_sp14_branched,79,102,31,1.26799,1.27202,0.0627894,
