section,Trace,Comment,Length,Area,Thickness,
39,d07,,2.37417,0.272376,0.045,
39,d07_sp01,,0.305723,0.00527011,0.045,
39,d07cross,,3.4,0,0.045,
39,d07cross,,3.4,0,0.045,
39,d07dia2,,0.407316,0,0.045,
39,d07p01,,0.0875735,0.000575673,0.045,
39,d07plinn01,,0.146456,0.00134058,0.045,
39,d07scale_0.5micron,For class,0.4977,0,0.045,
39,d07scale_0.5micron rec,For class,1.1158,0.0272466,0.045,
39,d07SER,,0.43407,0.0123459,0.045,
40,d07,,2.23968,0.256353,0.045,
40,d07_sp01,,1.58676,0.0877447,0.045,
40,d07cross,,3.4,0,0.045,
40,d07cross,,3.4,0,0.045,
40,d07p01,,0.0479263,0.00017241,0.045,
40,d07SER,,0.111915,0.000835691,0.045,
40,d07SER,,0.430834,0.0124246,0.045,
41,d07,,2.14763,0.234991,0.045,
41,d07_sp01,,1.77193,0.115437,0.045,
41,d07cross,,3.4,0,0.045,
41,d07cross,,3.4,0,0.045,
41,d07p01,,0.0479321,0.000172459,0.045,
41,d07SER,,0.118626,0.000730159,0.045,
41,d07SER,,0.366372,0.00944726,0.045,
42,d07,,2.1168,0.225693,0.045,
42,d07_sp01,,1.77537,0.120772,0.045,
42,d07cross,,3.4,0,0.045,
42,d07cross,,3.4,0,0.045,
42,d07p01,,0.0479263,0.00017241,0.045,
42,d07SER,,0.0904836,0.000554556,0.045,
42,d07SER,,0.10136,0.000710984,0.045,
42,d07SER,,0.244697,0.00366687,0.045,
43,d07,,2.22072,0.2437,0.045,
43,d07_sp01,,2.03609,0.119361,0.045,
43,d07cross,,3.4,0,0.045,
43,d07cross,,3.4,0,0.045,
43,d07p01,,0.0479263,0.00017241,0.045,
43,d07SER,,0.0986154,0.000646704,0.045,
43,d07SER,,0.197378,0.00265307,0.045,
43,d07SER,,0.158315,0.00169282,0.045,
43,d07SER,,0.0714113,0.000350574,0.045,
44,d07,,2.35886,0.272915,0.045,
44,d07_sp01,,1.97439,0.12818,0.045,
44,d07cross,,3.4,0,0.045,
44,d07cross,,3.4,0,0.045,
44,d07p01,,0.0479321,0.000172459,0.045,
44,d07SER,,0.0854351,0.000506367,0.045,
44,d07SER,,0.305308,0.00524519,0.045,
44,d07SER,,0.246686,0.00356687,0.045,
44,d07SER,,0.0947728,0.000622402,0.045,
45,d07,,2.47244,0.302894,0.045,
45,d07_sp01,,1.24075,0.0691247,0.045,
45,d07_sp02,,0.491279,0.0160016,0.045,
45,d07cross,,3.4,0,0.045,
45,d07cross,,3.4,0,0.045,
45,d07p01,,0.0479321,0.000172459,0.045,
45,d07p02,,0.245542,0.000739931,0.045,
45,d07plinn02,,0.146442,0.00134033,0.045,
45,d07rb01_distance,This is less than 0.1 um from the base_ so renamed 4SEP2016KH,0.0963024,0,0.045,
45,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.0759029,0.000432457,0.045,
45,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.0759029,0.000432457,0.045,
45,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.075917,0.000432614,0.045,
45,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.075917,0.000432614,0.045,
45,d07rb02_inc,4SEPT2016KHCheckedSHAFT.,0.0802485,0.000483393,0.045,
45,d07rb02_inc,4SEPT2016KHCheckedSHAFT.,0.0802485,0.000483393,0.045,
45,d07rb02_inc,4SEPT2016KHCheckedSHAFT.,0.0802485,0.000483393,0.045,
45,d07rb02_inc,4SEPT2016KHCheckedSHAFT.,0.0802485,0.000483393,0.045,
45,d07SER,,0.315179,0.00340878,0.045,
45,d07SER,,0.432296,0.00950625,0.045,
45,d07SER,,0.228252,0.00368979,0.045,
45,d07SER,,0.131852,0.00101877,0.045,
46,d07,,2.53283,0.316584,0.045,
46,d07_sp01,,1.31476,0.0916995,0.045,
46,d07_sp02,,0.488136,0.0174331,0.045,
46,d07cross,,3.4,0,0.045,
46,d07cross,,3.4,0,0.045,
46,d07p02,,0.0982596,0.000603434,0.045,
46,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.075937,0.00043285,0.045,
46,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.075917,0.000432614,0.045,
46,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.0759029,0.000432457,0.045,
46,d07rb01_inc,4SEPT2016KHCheckedSHAFT.,0.0759229,0.000432693,0.045,
46,d07rb03_inc,,0.0759029,0.000432457,0.045,
46,d07rb03_inc,,0.075917,0.000432614,0.045,
46,d07rb03_inc,,0.075917,0.000432614,0.045,
46,d07rb03_inc,,0.0759029,0.000432457,0.045,
46,d07rb03_inc,,0.0759312,0.000432772,0.045,
46,d07rb03_inc,,0.0759429,0.000432929,0.045,
46,d07SER,,0.0863896,0.000534956,0.045,
46,d07SER,,0.427959,0.0106522,0.045,
46,d07SER,,0.37625,0.00967801,0.045,
47,d07,,2.21459,0.25394,0.045,
47,d07_sp01,,1.53102,0.097836,0.045,
47,d07_sp02,,1.0426,0.0635082,0.045,
47,d07cross,,3.4,0,0.045,
47,d07cross,,3.4,0,0.045,
47,d07p02,,0.0982596,0.000603434,0.045,
47,d07p03,,0.168026,0.00135671,0.045,
47,d07plinn03,,0.146456,0.00134058,0.045,
47,d07rn02_inc,,0.118027,0.00104567,0.045,
47,d07rn02_inc,,0.118021,0.00104554,0.045,
47,d07rn02_inc,,0.118021,0.00104554,0.045,
47,d07rn02_inc,,0.118007,0.0010453,0.045,
47,d07SER,,0.0850705,0.000472474,0.045,
47,d07SER,,0.161747,0.00171428,0.045,
47,d07SER,,0.418721,0.0117836,0.045,
47,d07SER,,0.456798,0.00769436,0.045,
48,d07,,2.10836,0.228739,0.045,
48,d07_sp01,,1.54762,0.100895,0.045,
48,d07_sp02,,1.36579,0.0847366,0.045,
48,d07_sp03,,0.776859,0.0259276,0.045,
48,d07cross,,3.4,0,0.045,
48,d07cross,,3.4,0,0.045,
48,d07p02,,0.0982596,0.000603434,0.045,
48,d07p03,,0.361469,0.000861651,0.045,
48,d07SER,,0.0927388,0.000593337,0.045,
48,d07SER,,0.338313,0.00676056,0.045,
48,d07SER,,0.493042,0.0154053,0.045,
48,d07SER,,0.0707111,0.000354765,0.045,
49,d07,,2.03388,0.227526,0.045,
49,d07_sp01,,1.71522,0.119951,0.045,
49,d07_sp02,,1.08374,0.069071,0.045,
49,d07_sp03,,1.47327,0.067698,0.045,
49,d07cross,,3.4,0,0.045,
49,d07cross,,3.4,0,0.045,
49,d07p02,,0.0982596,0.000603434,0.045,
49,d07p03,,0.36146,0.000862867,0.045,
49,d07SER,,0.239993,0.00260432,0.045,
49,d07SER,,0.471442,0.0132448,0.045,
49,d07SER,,0.440526,0.0103948,0.045,
50,d07,,2.04357,0.21919,0.045,
50,d07_sp01,,1.95448,0.151249,0.045,
50,d07_sp02,,0.963327,0.058345,0.045,
50,d07_sp03,,1.59182,0.0779087,0.045,
50,d07c02,,0.515511,0.0140571,0.045,
50,d07cfa02,,0.175912,0,0.045,
50,d07cross,,3.4,0,0.045,
50,d07cross,,3.4,0,0.045,
50,d07p03,,0.361466,0.000861626,0.045,
50,d07SER,,0.0770407,0.000416433,0.045,
50,d07SER,,0.302838,0.00357417,0.045,
50,d07SER,,0.312609,0.00606386,0.045,
50,d07SER,,0.458427,0.01491,0.045,
51,d07,,2.09906,0.220156,0.045,
51,d07_sp01,,2.248,0.219401,0.045,
51,d07_sp02,,0.872098,0.0490507,0.045,
51,d07_sp03,,1.86836,0.0822149,0.045,
51,d07c02,,0.57721,0.0202605,0.045,
51,d07cfa02,,0.214096,0,0.045,
51,d07cross,,3.4,0,0.045,
51,d07cross,,3.4,0,0.045,
51,d07p02dia,,0.282796,0,0.045,
