section,Trace,Comment,Length,Area,
6,10align10,,3.59563,0.347745,
6,10align2,,3.59548,0.347753,
6,10align3,,3.59556,0.347756,
6,10align4,,3.5956,0.347778,
6,10align5,,3.59557,0.347805,
6,10align6,,3.59568,0.347749,
6,10align7,,3.59546,0.347761,
6,10align8,,3.59557,0.347812,
6,10align9,,3.59556,0.347728,
6,9align1,,4.02838,0.563275,
6,9align2,,4.02838,0.563275,
6,9align3,,4.02836,0.563265,
6,9align4,,4.02838,0.563275,
6,9align5,,4.02838,0.563275,
6,9align6,,4.02838,0.563275,
6,9align7,,4.02838,0.563275,
6,9align8,,4.02838,0.563275,
6,9align9,,4.02838,0.563275,
6,d001,,2.71024,0.519431,
6,D001,,0.46756,0.00758551,
6,d002,,1.3922,0.0993834,
6,D002,,0.3062,0.0032538,
6,d005,DDH traced 5/10/2019,2.23618,0.251491,
6,D005,,0.396848,0.0124117,
6,d005,DDH traced 5/10/2019,0,0,
6,d005_o02_inc,,0.18878,0.000490505,
6,mito01,,0.203412,0,
6,mito02,,0.238559,0,
6,TEM FIELD,,35.965,80.6231,
7,8align1,,3.59436,0.354083,
7,8align10,,3.59436,0.354083,
7,8align2,,3.59435,0.354082,
7,8align3,,3.59432,0.354076,
7,8align4,,3.59436,0.354083,
7,8align5,,3.59436,0.354083,
7,8align6,,3.59436,0.354083,
7,8align7,,3.59436,0.354083,
7,8align8,,3.59436,0.354083,
7,8align9,,3.59436,0.354083,
7,9align1,,4.00319,0.556443,
7,9align2,,4.0032,0.556445,
7,9align3,,4.00318,0.556435,
7,9align4,,4.0032,0.556445,
7,9align5,,4.00318,0.556441,
7,9align6,,4.0032,0.556445,
7,9align7,,4.0032,0.556445,
7,9align8,,4.0032,0.556445,
7,9align9,,4.0032,0.556445,
7,d001,,2.70317,0.512641,
7,D001,,0.46754,0.00758434,
7,d002,,1.45319,0.0855201,
7,D002,,0.3064,0.00326146,
7,d005,DDH traced 5/10/2019,2.1329,0.240143,
7,d005_o02_inc,,0.188691,0.000489,
7,d005_p05,DDH traced 5/10/2019,0.220741,0.00320561,
7,mito01,,0.203412,0,
7,mito02,,0.238559,0,
7,TEM FIELD,,35.965,80.6231,
8,7align1,,1.62183,0.197428,
8,7align10,,1.62183,0.197428,
8,7align2,,1.62183,0.197428,
8,7align3,,1.62183,0.197428,
8,7align4,,1.62179,0.197418,
8,7align5,,1.62183,0.197428,
8,7align6,,1.62169,0.197394,
8,7align7,,1.62169,0.197394,
8,7align8,,1.62183,0.197428,
8,7align9,,1.62183,0.197428,
8,8align1,,3.54324,0.344274,
8,8align10,,3.5432,0.344256,
8,8align2,,3.54331,0.344293,
8,8align3,,3.54337,0.344302,
8,8align4,,3.54336,0.34431,
8,8align5,,3.54338,0.344303,
8,8align6,,3.54337,0.344301,
8,8align7,,3.54346,0.34433,
8,8align8,,3.54317,0.344286,
8,8align9,,3.54319,0.344305,
8,d001,,2.65481,0.490927,
8,D001,,0.46754,0.00759291,
8,d001_o02,,0.101714,0.000497119,
8,d002,,1.74239,0.0877366,
8,D002,,0.3062,0.0032589,
8,d005,DDH traced 5/10/2019,2.23002,0.237435,
8,d005_o02_inc,,0.188575,0.000490755,
8,d005_p05,DDH traced 5/10/2019,0.431888,0.0127496,
8,mito02,,0.238559,0,
8,TEM FIELD,,35.965,80.6231,
9,6align1,,1.66542,0.17335,
9,6align10,,1.6654,0.173347,
9,6align2,,1.66542,0.17335,
9,6align3,,1.66542,0.17335,
9,6align4,,1.66542,0.17335,
9,6align5,,1.66542,0.17335,
9,6align6,,1.66542,0.17335,
9,6align7,,1.66542,0.17335,
9,6align8,,1.66542,0.17335,
9,6align9,,1.66542,0.17335,
9,7align1,,1.61078,0.19476,
9,7align10,,1.61074,0.194752,
9,7align2,,1.61081,0.194769,
9,7align3,,1.61076,0.194755,
9,7align4,,1.6107,0.194739,
9,7align5,,1.61077,0.194759,
9,7align6,,1.61076,0.194756,
9,7align7,,1.61061,0.194718,
9,7align8,,1.61079,0.194761,
9,7align9,,1.61076,0.194752,
9,d001,,2.67655,0.501755,
9,D001,,0.46734,0.00758902,
9,d001_o02,,0.101697,0.000496954,
9,d002,,1.81547,0.0903224,
9,D002,,0.306,0.00325125,
9,d005,DDH traced 5/10/2019,2.26768,0.230731,
9,d005_p03,DDH traced 5/10/2019,0.474316,0.0126282,
9,d005_p05,DDH traced 5/10/2019,0.704741,0.0257712,
9,mito02,,0.238559,0,
9,TEM FIELD,,35.965,80.6231,
10,5align1,,6.12775,0.247717,
10,5align10,,6.12758,0.247636,
10,5align2,,6.12772,0.247709,
10,5align3,,6.12771,0.247715,
10,5align4,,6.12775,0.247717,
10,5align5,,6.12775,0.247717,
10,5align6,,6.12775,0.247717,
10,5align7,,6.12741,0.247641,
10,5align8,,6.12772,0.247716,
10,5align9,,6.12775,0.247717,
10,6align1,,1.65125,0.170414,
10,6align10,,1.65113,0.17039,
10,6align2,,1.65133,0.170431,
10,6align3,,1.65123,0.170411,
10,6align4,,1.65128,0.170419,
10,6align5,,1.65128,0.170419,
10,6align6,,1.65113,0.17039,
10,6align7,,1.65125,0.170414,
10,6align8,,1.65125,0.170414,
10,6align9,,1.65125,0.170414,
10,d001,,2.72537,0.502646,
10,D001,,0.46756,0.0075933,
10,d002,,1.81905,0.118213,
10,D002,,0.3064,0.00325635,
10,d005,DDH traced 5/10/2019,2.30458,0.243157,
10,d005_c03,,0.689199,0.0323618,
10,d005_c05,,0.493723,0.0150803,
10,d005_cfa03,,0.230828,0,
10,d005_cfa05,,0.182521,0,
10,d005_o03,symmetric candidate,0.0754137,0.00027328,
10,d005_o04,,0.0806104,0.000406125,
10,d005_p03,DDH traced 5/10/2019,0.919216,0.0497167,
10,d005_p05,DDH traced 5/10/2019,0.852093,0.0407335,
10,TEM FIELD,,35.965,80.6231,
11,4align1,,3.18483,0.139822,
11,4align10,,3.18483,0.139822,
11,4align2,,3.18483,0.139822,
11,4align3,,3.18483,0.139822,
11,4align4,,3.18483,0.139822,
