sec,x,y
39.0,2.67262,7.02777
40.0,2.68418,7.03776
41.0,2.70311,7.05079
42.0,2.71912,7.06292
43.0,2.73787,7.08473
44.0,2.75821,7.10871
45.0,2.78232,7.13368
46.0,2.80917,7.16214
47.0,2.83573,7.18782
48.0,2.85709,7.20969
49.0,2.87553,7.23121
50.0,2.88929,7.25079
51.0,2.90061,7.27068
52.0,2.9166,7.29218
53.0,2.92844,7.30067
54.0,2.94168,7.30417
55.0,2.95745,7.30862
56.0,2.96839,7.30782
57.0,2.9784,7.30797
58.0,2.98717,7.31534
59.0,2.9956,7.3238
60.0,3.00527,7.33395
61.0,3.01236,7.34466
62.0,3.01984,7.35552
63.0,3.03407,7.3671
64.0,3.04583,7.38044
65.0,3.05233,7.38764
66.0,3.06267,7.40159
67.0,3.08163,7.40961
68.0,3.1088,7.41931
69.0,3.13457,7.43004
70.0,3.16256,7.43866
71.0,3.19093,7.45684
72.0,3.21805,7.46115
73.0,3.2361,7.47034
74.0,3.25125,7.48082
75.0,3.26727,7.49656
76.0,3.28172,7.50253
77.0,3.29198,7.51518
78.0,3.29949,7.51729
79.0,3.32719,7.5193
80.0,3.35692,7.52028
81.0,3.39074,7.51209
82.0,3.41813,7.51753
83.0,3.45843,7.5242
84.0,3.51308,7.52855
85.0,3.56807,7.53384
86.0,3.62447,7.54326
87.0,3.68028,7.55006
88.0,3.74108,7.56021
89.0,3.78541,7.56568
90.0,3.82744,7.57434
91.0,3.86402,7.58102
92.0,3.90814,7.58499
93.0,3.94659,7.58293
94.0,3.97569,7.58055
95.0,4.00466,7.57012
96.0,4.03074,7.56179
97.0,4.05422,7.55166
98.0,4.07211,7.53559
99.0,4.08641,7.52035
100.0,4.09857,7.49911
101.0,4.11157,7.47471
102.0,4.11893,7.45495
103.0,4.12067,7.43625
104.0,4.11818,7.42052
105.0,4.11218,7.41296
106.0,4.10734,7.40376
107.0,4.10225,7.39648
108.0,4.09365,7.3931
109.0,4.08417,7.39188
110.0,4.07575,7.39341
111.0,4.06148,7.39575
112.0,4.05138,7.39495
113.0,4.04641,7.39398
114.0,4.04264,7.3919
115.0,4.03969,7.38853
116.0,3.99127,7.3859
117.0,3.98662,7.38214
118.0,3.97821,7.38174
119.0,3.97462,7.37926
120.0,3.97136,7.37689
121.0,3.97244,7.37514
122.0,3.97463,7.37413
123.0,3.97652,7.37326
124.0,3.9802,7.3797
125.0,3.98393,7.38794
126.0,4.03389,7.39705
127.0,4.04015,7.41202
128.0,4.04957,7.42604
129.0,4.05758,7.44705
130.0,4.06257,7.46946
131.0,4.06469,7.49383
132.0,4.06785,7.51566
133.0,4.06809,7.53796
134.0,4.06537,7.55349
135.0,4.06184,7.56691
136.0,4.05967,7.5829
137.0,4.05825,7.59327
138.0,4.05656,7.60097
139.0,4.05156,7.60295
140.0,4.04768,7.60368
141.0,4.04743,7.60346
142.0,4.04397,7.60416
143.0,4.04087,7.60524
144.0,4.04112,7.60439
145.0,4.04261,7.60236
146.0,4.04092,7.59477
147.0,4.03749,7.58999
148.0,4.03352,7.58582
149.0,4.03009,7.57849
150.0,4.03088,7.57362
151.0,4.02721,7.57135
152.0,4.02253,7.56895
153.0,4.0174,7.56371
154.0,4.01127,7.56323
155.0,4.00454,7.56447
156.0,4.00058,7.57145
157.0,3.9969,7.5756
158.0,3.99787,7.57825
159.0,4.00188,7.5828
160.0,3.99758,7.58557
161.0,3.99937,7.58623
162.0,4.00265,7.59007
163.0,4.00549,7.60082
164.0,4.0088,7.60965
165.0,4.00884,7.61592
166.0,4.00856,7.61723
167.0,4.01583,7.61989
168.0,4.02396,7.62428
169.0,4.03092,7.62843
170.0,4.04579,7.63151
171.0,4.05938,7.63318
172.0,4.07787,7.63332
173.0,4.09895,7.62946
174.0,4.12393,7.6287
175.0,4.15219,7.63149
176.0,4.18112,7.63636
177.0,4.20898,7.64243
178.0,4.2378,7.64914
179.0,4.26619,7.66191
180.0,4.29131,7.67901
181.0,4.31774,7.69838
182.0,4.33876,7.72141
183.0,4.35835,7.74574
184.0,4.3757,7.77
185.0,4.39245,7.79529
186.0,4.40986,7.81789
187.0,4.42402,7.83906
188.0,4.4352,7.86033
189.0,4.44885,7.87973
190.0,4.45989,7.899
191.0,4.4695,7.91787
192.0,4.48152,7.93156
193.0,4.49132,7.94307
194.0,4.49928,7.95181
195.0,4.50375,7.95602
196.0,4.54022,7.97248
197.0,4.53876,7.97526
198.0,4.53174,7.98072
199.0,4.52375,7.98501
200.0,4.51598,7.98819
201.0,4.50584,7.98855
202.0,4.49329,7.99136
203.0,4.48247,7.99627
204.0,4.47637,7.9973
205.0,4.47616,7.99907
206.0,4.4422,7.99048
207.0,4.44717,7.99277
208.0,4.45476,7.9911
209.0,4.46614,7.98661
210.0,4.47594,7.98237
211.0,4.48733,7.97694
212.0,4.5015,7.97021
213.0,4.51619,7.97224
214.0,4.52723,7.97517
215.0,4.54075,7.97737
216.0,4.56223,7.9784
217.0,4.58098,7.9821
218.0,4.60254,7.98843
219.0,4.62278,7.99439
220.0,4.64624,7.99817
221.0,4.67214,8.00042
222.0,4.70052,8.00187
223.0,4.72727,7.99508
224.0,4.75299,7.98838
225.0,4.77603,7.9839
226.0,4.79362,7.97633
227.0,4.81294,7.96989
228.0,4.83122,7.96145
229.0,4.84597,7.95523
230.0,4.86072,7.94911
231.0,4.87211,7.94601
