sec,x,y
1.0,6.1766,4.54628
2.0,6.1779,4.54732
3.0,6.17751,4.5427
4.0,6.17902,4.5344
5.0,6.18432,4.52599
6.0,6.18719,4.51484
7.0,6.19042,4.49887
8.0,6.19582,4.4858
9.0,6.19637,4.47066
10.0,6.19885,4.45561
11.0,6.20581,4.4413
12.0,6.21292,4.41929
13.0,6.21966,4.40243
14.0,6.22138,4.38666
15.0,6.21794,4.36651
16.0,6.22262,4.34549
17.0,6.22832,4.33118
18.0,6.23166,4.31149
19.0,6.24823,4.29335
20.0,6.25869,4.27219
21.0,6.26539,4.25355
22.0,6.27284,4.23458
23.0,6.28444,4.20909
24.0,6.30547,4.18408
25.0,6.33065,4.15649
26.0,6.35049,4.13028
27.0,6.37494,4.10315
28.0,6.40254,4.07542
29.0,6.42167,4.04368
30.0,6.44889,4.01573
31.0,6.48057,3.98315
32.0,6.51193,3.94658
33.0,6.54396,3.91982
34.0,6.56866,3.89329
35.0,6.59175,3.87018
36.0,6.61794,3.84411
37.0,6.6441,3.81244
38.0,6.67239,3.78177
39.0,6.69858,3.75573
40.0,6.72224,3.72919
41.0,6.74414,3.70177
42.0,6.76725,3.67331
43.0,6.78656,3.63727
44.0,6.81021,3.59393
45.0,6.83449,3.55449
46.0,6.85878,3.51696
47.0,6.88343,3.48176
48.0,6.90684,3.44672
49.0,6.93129,3.41104
50.0,6.95219,3.37227
51.0,6.9725,3.33132
52.0,6.99027,3.29717
53.0,7.01096,3.26492
54.0,7.02831,3.2382
55.0,7.04458,3.20764
56.0,7.05929,3.17776
57.0,7.06973,3.14881
58.0,7.07513,3.11797
59.0,7.08241,3.0857
60.0,7.09824,3.05566
61.0,7.1207,3.03056
62.0,7.14812,3.00556
63.0,7.17502,2.98055
64.0,7.21012,2.9609
65.0,7.24615,2.94264
66.0,7.2828,2.92613
67.0,7.32193,2.90845
68.0,7.36492,2.89219
69.0,7.40601,2.87426
70.0,7.43635,2.85831
71.0,7.45506,2.84241
72.0,7.47333,2.83266
73.0,7.49265,2.825
74.0,7.50235,2.81596
75.0,7.51263,2.81096
76.0,7.52873,2.8034
77.0,7.5411,2.79743
78.0,7.5535,2.79205
79.0,7.56815,2.78536
80.0,7.58997,2.78121
81.0,7.62044,2.77801
82.0,7.64865,2.7703
83.0,7.67792,2.76201
84.0,7.71225,2.7542
85.0,7.74722,2.74113
86.0,7.77827,2.73074
87.0,7.81157,2.72019
88.0,7.84871,2.71388
89.0,7.8854,2.70718
90.0,7.91908,2.69358
91.0,7.94586,2.67776
92.0,7.97023,2.66093
93.0,7.99212,2.6423
94.0,8.00957,2.62424
95.0,8.0271,2.60696
96.0,8.03704,2.58819
97.0,8.04115,2.56949
98.0,8.03811,2.54433
99.0,8.03165,2.52141
100.0,8.02956,2.50024
101.0,8.02767,2.48369
102.0,8.02622,2.46685
103.0,8.01911,2.45099
104.0,8.00808,2.43298
105.0,7.99892,2.41781
106.0,7.98935,2.40418
107.0,7.97195,2.38289
108.0,7.9506,2.36738
109.0,7.92636,2.35203
110.0,7.89276,2.33656
111.0,7.86038,2.31808
112.0,7.82836,2.3013
113.0,7.78779,2.28189
114.0,7.75233,2.27029
115.0,7.70732,2.24943
116.0,7.66754,2.23014
117.0,7.63596,2.2135
118.0,7.6101,2.196
119.0,7.59261,2.17783
120.0,7.57624,2.15946
121.0,7.55645,2.13523
122.0,7.53479,2.10854
123.0,7.5222,2.08207
124.0,7.51165,2.04796
125.0,7.50176,2.02125
126.0,7.48722,1.99421
127.0,7.47054,1.96554
128.0,7.45277,1.93596
129.0,7.42429,1.90785
130.0,7.3933,1.87985
131.0,7.36448,1.85978
132.0,7.3319,1.84272
133.0,7.3008,1.82698
134.0,7.27513,1.81365
135.0,7.24929,1.79901
136.0,7.22829,1.78206
137.0,7.20651,1.77244
138.0,7.18239,1.75818
139.0,7.16688,1.74896
140.0,7.15264,1.73918
141.0,7.13648,1.72831
142.0,7.12521,1.71221
143.0,7.11416,1.69329
144.0,7.09524,1.66934
145.0,7.07087,1.64707
146.0,7.03828,1.62654
147.0,7.01042,1.60057
148.0,6.98113,1.57674
149.0,6.94247,1.54629
150.0,6.90937,1.52269
151.0,6.87939,1.49646
152.0,6.84529,1.47323
153.0,6.81512,1.45281
154.0,6.78496,1.4352
155.0,6.76285,1.41684
156.0,6.74166,1.39641
157.0,6.72249,1.3779
158.0,6.7092,1.36178
159.0,6.6688,1.33742
160.0,6.63306,1.30871
161.0,6.59652,1.28109
162.0,6.59285,1.26706
163.0,6.58708,1.25583
164.0,6.5822,1.23961
165.0,6.57214,1.2253
166.0,6.56558,1.21023
167.0,6.55985,1.19846
168.0,6.55883,1.18507
169.0,6.59148,1.18353
170.0,6.61441,1.18165
171.0,6.6427,1.17833
172.0,6.64399,1.15815
173.0,6.64217,1.13102
174.0,6.58815,1.11497
175.0,6.60298,1.09579
176.0,6.61978,1.07944
177.0,6.63455,1.06159
178.0,6.64559,1.04433
179.0,6.6435,1.02369
180.0,6.64891,1.00198
181.0,6.65506,0.981751
182.0,6.66169,0.966193
183.0,6.67504,0.959038
184.0,6.74462,0.940793
185.0,6.76224,0.922834
186.0,6.78015,0.904127
187.0,6.80826,0.880043
188.0,6.82803,0.863356
189.0,6.86676,0.849448
190.0,6.90595,0.833745
191.0,6.93915,0.818341
192.0,6.97579,0.800694
193.0,7.01285,0.777785
194.0,7.0473,0.756321
195.0,7.07229,0.73719
196.0,7.09738,0.717926
197.0,7.11673,0.709616
198.0,7.14619,0.69152
199.0,7.17506,0.671032
200.0,7.19988,0.65174
201.0,7.22604,0.630785
202.0,7.24773,0.612292
203.0,7.26744,0.593755
204.0,7.27292,0.573345
205.0,7.27784,0.553592
206.0,7.28805,0.536965
207.0,7.29352,0.51686
208.0,7.29412,0.50026
209.0,7.28933,0.486501
210.0,7.28559,0.475733
