sec,x,y
1.0,10.5312,7.03353
2.0,10.5322,7.03125
3.0,10.5324,7.02768
4.0,10.5334,7.02418
5.0,10.5346,7.01959
6.0,10.5309,7.01538
7.0,10.5284,7.00954
8.0,10.5272,7.00229
9.0,10.5241,6.99375
10.0,10.5246,6.98496
11.0,10.5257,6.97598
12.0,10.5265,6.96929
13.0,10.5277,6.96361
14.0,10.5278,6.95676
15.0,10.5282,6.94916
16.0,10.5332,6.94147
17.0,10.5368,6.93483
18.0,10.5383,6.93027
19.0,10.537,6.92085
20.0,10.5334,6.90729
21.0,10.5275,6.89106
22.0,10.522,6.87317
23.0,10.5165,6.85782
24.0,10.5103,6.83548
25.0,10.5015,6.80959
26.0,10.4948,6.78405
27.0,10.4941,6.75907
28.0,10.4871,6.73168
29.0,10.4797,6.71338
30.0,10.475,6.69699
31.0,10.4711,6.68281
32.0,10.4653,6.6683
33.0,10.4618,6.65022
34.0,10.4572,6.63504
35.0,10.4536,6.62679
36.0,10.4478,6.61507
37.0,10.4371,6.60331
38.0,10.4345,6.59297
39.0,10.435,6.57903
40.0,10.4333,6.56808
41.0,10.4301,6.55854
42.0,10.4269,6.55186
43.0,10.4195,6.54588
44.0,10.4136,6.54263
45.0,10.4077,6.53717
46.0,10.402,6.53461
47.0,10.3959,6.53161
48.0,10.3876,6.52811
49.0,10.3781,6.52212
50.0,10.3684,6.51323
51.0,10.3609,6.50081
52.0,10.3515,6.48411
53.0,10.3451,6.46661
54.0,10.3401,6.45017
55.0,10.3354,6.43518
56.0,10.3305,6.42076
57.0,10.3251,6.40718
58.0,10.321,6.39429
59.0,10.3177,6.38379
60.0,10.3153,6.37653
61.0,10.3119,6.37229
62.0,10.3111,6.37371
63.0,10.3097,6.37348
64.0,10.3068,6.37421
65.0,10.3019,6.37361
66.0,10.2983,6.37522
67.0,10.2938,6.37819
68.0,10.2916,6.3804
69.0,10.2944,6.38191
70.0,10.2986,6.38432
71.0,10.3029,6.38716
72.0,10.308,6.384
73.0,10.3109,6.38136
74.0,10.3159,6.37553
75.0,10.3239,6.36679
76.0,10.3311,6.3535
77.0,10.3389,6.33646
78.0,10.3453,6.31945
79.0,10.3462,6.30097
80.0,10.3444,6.2802
81.0,10.3434,6.25797
82.0,10.3414,6.23686
83.0,10.3412,6.21649
84.0,10.3375,6.19598
85.0,10.3334,6.17926
86.0,10.33,6.16361
87.0,10.3253,6.15357
88.0,10.3187,6.14642
89.0,10.3119,6.14245
90.0,10.305,6.13923
91.0,10.2989,6.13517
92.0,10.2928,6.13181
93.0,10.2868,6.12854
94.0,10.2821,6.12468
95.0,10.2775,6.11679
96.0,10.2728,6.11056
97.0,10.2674,6.09567
98.0,10.2604,6.07943
99.0,10.2508,6.06238
100.0,10.2425,6.04438
101.0,10.233,6.02824
102.0,10.2259,6.01118
103.0,10.2166,5.99503
104.0,10.2127,5.98272
105.0,10.2064,5.97243
106.0,10.1987,5.95982
107.0,10.1934,5.95127
108.0,10.1918,5.93944
109.0,10.1944,5.92597
110.0,10.1966,5.90571
111.0,10.1975,5.88496
112.0,10.1964,5.86747
113.0,10.1969,5.84779
114.0,10.1926,5.82993
115.0,10.1903,5.81229
116.0,10.1879,5.79707
117.0,10.1824,5.78183
118.0,10.1726,5.77549
119.0,10.1583,5.76691
120.0,10.1414,5.76728
121.0,10.1132,5.76777
122.0,10.0846,5.76628
123.0,10.0589,5.76832
124.0,10.0325,5.76754
125.0,10.0058,5.768
126.0,9.97868,5.76579
127.0,9.9528,5.76311
128.0,9.92974,5.75241
129.0,9.90836,5.7453
130.0,9.88783,5.73659
131.0,9.87817,5.72891
132.0,9.86408,5.72361
133.0,9.84765,5.71871
134.0,9.83565,5.71194
135.0,9.81964,5.70502
136.0,9.81592,5.69597
137.0,9.81066,5.68955
138.0,9.80954,5.68247
139.0,9.81231,5.67841
140.0,9.81288,5.67597
141.0,9.8122,5.67369
142.0,9.8137,5.67027
143.0,9.81634,5.66239
144.0,9.81372,5.65541
145.0,9.81116,5.64349
146.0,9.79452,5.6359
147.0,9.7787,5.62641
148.0,9.75756,5.61021
149.0,9.73507,5.59325
150.0,9.71382,5.57541
151.0,9.69623,5.55095
152.0,9.67874,5.52689
153.0,9.66072,5.50585
154.0,9.64244,5.48839
155.0,9.62812,5.47369
156.0,9.61406,5.45789
157.0,9.60219,5.44288
158.0,9.59195,5.43697
159.0,9.58116,5.42888
160.0,9.57421,5.4207
