sec,x,y
1.0,3.32133,3.39628
2.0,3.30877,3.3989
3.0,3.297,3.40202
4.0,3.28816,3.4055
5.0,3.28193,3.40844
6.0,3.273,3.41074
7.0,3.26316,3.41306
8.0,3.25277,3.41839
9.0,3.24397,3.42813
10.0,3.2336,3.43737
11.0,3.22953,3.44602
12.0,3.22953,3.44771
13.0,3.22406,3.4527
14.0,3.21811,3.45375
15.0,3.213,3.45402
16.0,3.21249,3.4556
17.0,3.21333,3.46061
18.0,3.21762,3.46169
19.0,3.22612,3.46338
20.0,3.24162,3.46721
21.0,3.25594,3.47204
22.0,3.26912,3.47856
23.0,3.28936,3.48165
24.0,3.30867,3.4898
25.0,3.3279,3.49727
26.0,3.3454,3.50249
27.0,3.36195,3.50656
28.0,3.37747,3.51431
29.0,3.39366,3.52306
30.0,3.41085,3.5277
31.0,3.42486,3.52813
32.0,3.43595,3.5281
33.0,3.44583,3.53317
34.0,3.45766,3.53824
35.0,3.47014,3.54429
36.0,3.48572,3.55028
37.0,3.49973,3.55353
38.0,3.51395,3.55475
39.0,3.52626,3.55626
40.0,3.54674,3.55882
41.0,3.56753,3.56613
42.0,3.5877,3.57463
43.0,3.60614,3.58003
44.0,3.62324,3.58618
45.0,3.63486,3.59484
46.0,3.64491,3.6039
47.0,3.66318,3.61462
48.0,3.67946,3.62287
49.0,3.69378,3.62881
50.0,3.69335,3.63154
51.0,3.69656,3.62894
52.0,3.70377,3.63011
53.0,3.71447,3.62774
54.0,3.71961,3.62212
55.0,3.72876,3.6152
56.0,3.73698,3.60725
57.0,3.73806,3.59802
58.0,3.73838,3.59075
59.0,3.74765,3.5882
60.0,3.75211,3.58547
61.0,3.75825,3.58663
62.0,3.76604,3.58506
63.0,3.77159,3.58247
64.0,3.78575,3.58053
65.0,3.80294,3.57918
66.0,3.82185,3.58003
67.0,3.84517,3.57839
68.0,3.86947,3.57535
69.0,3.88804,3.56861
70.0,3.92065,3.56322
71.0,3.94713,3.55558
72.0,3.97337,3.54749
73.0,3.99932,3.54008
74.0,4.01464,3.54038
75.0,4.03612,3.52854
76.0,4.04963,3.51968
77.0,4.05886,3.51366
78.0,4.06502,3.51138
79.0,4.06886,3.50909
80.0,4.07152,3.50872
81.0,4.07698,3.51257
82.0,4.07617,3.51687
83.0,4.07528,3.52572
84.0,4.08205,3.52808
85.0,4.07259,3.5428
86.0,4.06787,3.5556
87.0,4.06314,3.56667
88.0,4.0629,3.57834
89.0,4.06446,3.59055
90.0,4.06372,3.60103
91.0,4.06738,3.60829
92.0,4.07594,3.61332
93.0,4.08361,3.61322
94.0,4.09599,3.61146
95.0,4.11582,3.60777
96.0,4.13335,3.60225
97.0,4.1478,3.59997
98.0,4.1585,3.59316
99.0,4.17004,3.58804
100.0,4.18493,3.58499
101.0,4.19202,3.58044
102.0,4.19693,3.57865
103.0,4.20894,3.57768
104.0,4.21451,3.57599
105.0,4.21651,3.57497
106.0,4.22466,3.57219
107.0,4.23515,3.56454
108.0,4.25936,3.5589
109.0,4.26931,3.54797
110.0,4.27157,3.53257
111.0,4.28567,3.52124
112.0,4.29017,3.50488
113.0,4.29492,3.49063
114.0,4.31218,3.48177
115.0,4.32931,3.46796
116.0,4.35372,3.45477
117.0,4.36944,3.4428
118.0,4.37404,3.4342
119.0,4.39269,3.43104
120.0,4.41641,3.42908
121.0,4.43148,3.42506
122.0,4.46409,3.42434
123.0,4.4805,3.41484
124.0,4.48677,3.40727
125.0,4.49282,3.40542
126.0,4.49645,3.40775
127.0,4.51375,3.40984
128.0,4.53046,3.40791
129.0,4.54322,3.40551
130.0,4.55929,3.40074
131.0,4.57387,3.40071
132.0,4.58728,3.40132
133.0,4.61,3.40963
134.0,4.63813,3.41511
135.0,4.66423,3.41494
136.0,4.68729,3.41044
137.0,4.70659,3.40838
138.0,4.72608,3.40437
139.0,4.75131,3.40117
140.0,4.77009,3.39874
141.0,4.78838,3.39399
142.0,4.79778,3.39093
143.0,4.80873,3.38659
144.0,4.81185,3.37922
145.0,4.82066,3.37459
146.0,4.82522,3.37086
147.0,4.83235,3.3629
148.0,4.83852,3.35585
149.0,4.83957,3.3474
150.0,4.84309,3.34294
151.0,4.85011,3.34016
152.0,4.85331,3.33249
153.0,4.86745,3.32295
154.0,4.8908,3.31537
155.0,4.91685,3.30743
156.0,4.94674,3.29685
157.0,4.97677,3.28721
158.0,5.00621,3.27476
159.0,5.03861,3.26007
160.0,5.07499,3.25062
161.0,5.11171,3.23329
162.0,5.15585,3.21684
163.0,5.18918,3.20267
164.0,5.21148,3.18845
165.0,5.22588,3.17974
166.0,5.23497,3.17744
167.0,5.24237,3.17725
168.0,5.25653,3.17827
169.0,5.26811,3.18021
170.0,5.2784,3.17734
171.0,5.29116,3.17577
172.0,5.30619,3.17842
173.0,5.32296,3.18
174.0,5.32752,3.17966
175.0,5.3551,3.17833
176.0,5.38353,3.17446
177.0,5.41548,3.17347
178.0,5.4508,3.17971
179.0,5.49087,3.18268
180.0,5.53274,3.18196
181.0,5.56931,3.18322
182.0,5.62315,3.17875
183.0,5.66755,3.18027
184.0,5.7314,3.18148
185.0,5.77512,3.18708
186.0,5.82558,3.18386
187.0,5.87038,3.18141
188.0,5.91603,3.16901
189.0,5.96357,3.16183
190.0,6.00966,3.15598
191.0,6.06293,3.14693
192.0,6.10075,3.14226
193.0,6.153,3.13124
194.0,6.20266,3.11736
195.0,6.25876,3.09492
196.0,6.31082,3.07876
197.0,6.37049,3.05887
198.0,6.42191,3.03866
199.0,6.4747,3.01396
200.0,6.52571,2.98643
201.0,6.57739,2.9613
202.0,6.62903,2.93588
203.0,6.67909,2.91137
204.0,6.71335,2.88561
205.0,6.74789,2.85827
206.0,6.77997,2.82915
207.0,6.80591,2.80092
208.0,6.83051,2.77838
209.0,6.84688,2.75838
210.0,6.86131,2.74228
