Object,Start,End,Count,Surface area,Flat area,Volume,
d01,5,200,196,21.1953,62.4313,2.9967,
d01__teamsymmquestionglycogen?,119,119,1,0.0536832,0.0946735,0.00454433,
d01__teamsymmquestionglycogen2?,145,145,1,0.0200625,0.0138321,0.000663939,
d01__teamsymmquestionrb13,84,86,2,0.0372669,0.0235758,0.00113164,
d01__teamsymmquestionrb18,106,106,1,0.0367635,0.0461754,0.00221642,
d01__teamsymmquestionrn14,94,94,1,0.0194942,0.0131077,0.000629172,
d01__teamsymmquestionrs02,46,46,1,0.0168638,0.00978589,0.000469723,
d01__teamsymmquestionrs03,17,17,1,0.0231139,0.0182689,0.000876907,
d01__teamsymmquestionrs04,40,40,1,0.0197028,0.0131766,0.000632477,
d01_exclude,1,202,8,0.953719,2.74779,0.131894,
d01_INC,201,202,2,0.0337989,0.00341498,0.000163919,
d01c01_symmetric,5,11,7,0.194966,0.144543,0.00693808,
d01c02,18,23,6,0.287648,0.474713,0.0227862,
d01c03,18,25,8,0.417505,0.507331,0.0243519,
d01c04,27,28,2,0.0422405,0.0257032,0.00123375,
d01c05,56,59,4,0.116514,0.105338,0.00505623,
d01c06,24,33,10,0.528362,0.669337,0.0321282,
d01c07,42,47,6,0.25168,0.288876,0.0138661,
d01c08,52,56,5,0.183533,0.179437,0.00861299,
d01c09,55,58,4,0.0977316,0.0746767,0.00358448,
d01c10,48,54,7,0.277537,0.296424,0.0142284,
d01c11,66,70,5,0.115708,0.077742,0.00373162,
d01c12_symmetric,82,92,13,0.465363,0.425624,0.0204299,
d01c13,90,94,5,0.185361,0.17255,0.0082824,
d01c14,97,102,6,0.224292,0.223898,0.0107471,
d01c15,90,94,5,0.123145,0.0829056,0.00397947,
d01c16,108,113,6,0.244234,0.253951,0.0121897,
d01c17,103,112,12,0.618017,0.810859,0.0389212,
d01c18,117,120,4,0.140093,0.133649,0.00641517,
d01c19,111,114,4,0.1585,0.187078,0.00897974,
d01c20,144,149,6,0.290601,0.420959,0.0202061,
d01c21,114,117,4,0.187091,0.234453,0.0112537,
d01c22a,129,134,6,0.145995,0.103888,0.00498664,
d01c22b,125,130,6,0.138833,0.0946734,0.00454432,
d01c23,148,151,4,0.136878,0.15698,0.00753503,
d01c24,162,165,4,0.0736955,0.041947,0.00201346,
d01c25a,163,167,6,0.198157,0.188278,0.00903733,
d01c25b,120,122,3,0.0644141,0.0417604,0.0020045,
d01c26,183,186,4,0.16096,0.209454,0.0100538,
d01c27,160,165,6,0.19109,0.182466,0.00875837,
d01c28a,164,169,6,0.278372,0.370649,0.0177911,
d01c28b1,173,175,3,0.0957728,0.0876853,0.00420889,
d01c28b2,176,179,4,0.0914765,0.0663475,0.00318468,
d01c29,175,180,6,0.267079,0.347569,0.0166833,
d01c30,198,201,4,0.177028,0.188927,0.00906847,
d01c31,21,23,3,0.0692238,0.0428824,0.00205835,
d01c32,110,116,7,0.295709,0.317002,0.0152161,
d01c34,79,84,6,0.141402,0.101458,0.00486998,
d01cfa01,5,11,7,0.06682,0.06682,0,
d01cfa02,18,23,6,0.164848,0.199894,0.00432474,
d01cfa03,18,25,8,0.178111,0.178111,0,
d01cfa04,28,28,1,0.00715996,0.00715996,0,
d01cfa05,56,58,3,0.0413965,0.0330982,0.000628988,
d01cfa06,24,33,10,0.232272,0.232272,0,
d01cfa07,42,47,6,0.118216,0.106566,0.00101578,
d01cfa08,53,56,7,0.148013,0.0942451,0.00312866,
d01cfa09,55,58,4,0.0326193,0.0326193,0,
d01cfa10,48,54,7,0.104147,0.104147,0,
d01cfa11,66,70,5,0.0412957,0.0412957,0,
d01cfa12,82,92,13,0.176372,0.176372,0,
d01cfa13,90,94,5,0.0714924,0.0714924,0,
d01cfa14,97,102,6,0.100334,0.0911359,0.000691133,
d01cfa15,90,94,5,0.0436059,0.0436059,0,
d01cfa16,108,113,6,0.0953918,0.0953918,0,
d01cfa17,103,112,12,0.242488,0.242488,0,
d01cfa18,117,120,4,0.0493544,0.0493544,0,
d01cfa19,111,114,4,0.0746583,0.0672201,0.00114564,
d01cfa20,144,149,6,0.13486,0.137434,0.00311619,
d01cfa21,114,117,4,0.0660801,0.0660801,0,
d01cfa22a,129,134,6,0.0491,0.0491,0,
