section,Trace,Comment,Length,Area,Thickness,
1,d01_exclude,,1.97956,0.249215,0.048,
2,d01_exclude,,1.86734,0.242495,0.048,
2,D01dia3,,0.549852,0,0.048,
3,d01_exclude,,1.90888,0.252267,0.048,
4,d01_exclude,,1.96351,0.272414,0.048,
5,d01,,1.93304,0.259679,0.048,
5,d01_exclude,,1.93304,0.259679,0.048,
5,d01c01_symmetric,,0.396926,0.0109377,0.048,
5,d01cfa01,,0.122338,0,0.048,
5,d01p01_symmetric,,0.0515456,0.000127678,0.048,
5,d01SER,,0.0879379,0.000503143,0.048,
5,d01SER,,0.209394,0.00270059,0.048,
5,d01SER,,0.19577,0.00209857,0.048,
6,d01,,2.14759,0.268894,0.048,
6,d01c01_symmetric,,0.526675,0.0168788,0.048,
6,d01cfa01,,0.177418,0,0.048,
6,d01p01_symmetric,,0.0515456,0.000127678,0.048,
6,d01SER,,0.084256,0.000444182,0.048,
6,d01SER,,0.319059,0.0051757,0.048,
6,d01SER,,0.218322,0.00232082,0.048,
7,d01,,2.00316,0.272286,0.048,
7,d01c01_symmetric,,0.716805,0.0280117,0.048,
7,d01cfa01,,0.259158,0,0.048,
7,d01p01_symmetric,,0.0515456,0.000127678,0.048,
7,d01SER,,0.130612,0.00101331,0.048,
7,d01SER,,0.435913,0.00752303,0.048,
7,d01SER,,0.224322,0.0034807,0.048,
8,d01,,2.02694,0.27918,0.048,
8,d01c01_symmetric,,0.620216,0.0255008,0.048,
8,d01cfa01,,0.213371,0,0.048,
8,d01p01_symmetric,,0.0515456,0.000127678,0.048,
8,d01SER,,0.418019,0.00728523,0.048,
8,d01SER,,0.136931,0.00107848,0.048,
8,d01SER,,0.241392,0.00412379,0.048,
9,d01,,2.01116,0.279945,0.048,
9,d01c01_symmetric,,0.615749,0.0232813,0.048,
9,d01cfa01,,0.200309,0,0.048,
9,d01p01_symmetric,,0.0515456,0.000127679,0.048,
9,d01SER,,0.225271,0.00210472,0.048,
9,d01SER,,0.532989,0.00720921,0.048,
9,d01SER,,0.190958,0.00241007,0.048,
10,d01,,2.04032,0.283904,0.048,
10,d01c01_symmetric,,0.643506,0.0220175,0.048,
10,d01cfa01,,0.233626,0,0.048,
10,d01p01_symmetric,,0.0515456,0.000127679,0.048,
10,d01SER,,0.274239,0.00338695,0.048,
10,d01SER,,0.270791,0.00461368,0.048,
10,d01SER,,0.187844,0.0021777,0.048,
10,d01SER,,0.128722,0.00111044,0.048,
11,d01,,2.08692,0.292031,0.048,
11,d01c01_symmetric,,0.541908,0.0179156,0.048,
11,d01cfa01,,0.185863,0,0.048,
11,d01p01_symmetric,,0.0515456,0.000127678,0.048,
11,d01SER,,0.167989,0.00184608,0.048,
11,d01SER,,0.190749,0.00201821,0.048,
11,d01SER,,0.334285,0.0052382,0.048,
11,d01SER,,0.134478,0.00133835,0.048,
12,d01,,2.08003,0.297864,0.048,
12,d01SER,,0.24339,0.00241896,0.048,
12,d01SER,,0.153324,0.00151493,0.048,
12,d01SER,,0.401096,0.00746231,0.048,
12,d01SER,,0.428065,0.00681302,0.048,
12,d01SER,,0.216254,0.00265527,0.048,
13,d01,,2.16569,0.324687,0.048,
13,d01p02_psh,,0.259281,0.000825399,0.048,
13,d01SER,,0.202301,0.00244457,0.048,
13,d01SER,,0.539585,0.00960601,0.048,
13,d01SER,,0.179274,0.002049,0.048,
13,d01SER,,0.357496,0.00623563,0.048,
13,d01SER,,0.175494,0.00210007,0.048,
14,d01,,2.32736,0.376644,0.048,
14,d01p02_psh,,0.259281,0.000825399,0.048,
14,d01SER,,0.254368,0.00315463,0.048,
14,d01SER,,0.266693,0.00478188,0.048,
14,d01SER,,0.346941,0.00567234,0.048,
14,d01SER,,0.236708,0.00230276,0.048,
14,d01SER,,0.195961,0.00269384,0.048,
14,d01sp03,,0.575092,0.0201645,0.048,
15,d01,,2.5386,0.421516,0.048,
15,d01p02_psh,,0.147823,0.000268519,0.048,
15,d01SER,,0.214288,0.00332204,0.048,
15,d01SER,,0.261393,0.00364523,0.048,
