Object,Start,End,Count,Surface area,Flat area,Volume,
d046,1,167,168,22.6995,73.4337,3.81855,
D046,1,232,231,8.6185,9.66473,0.502566,
D046_ax01,31,121,198,2.81661,0.559138,0.0290752,
D046_ax01_othersymm1,84,85,2,0.072203,0.07594,0.00394888,
D046_ax01_othersymm2,112,112,1,0.0475923,0.0631255,0.00328253,
d046_c01,1,2,2,0.065154,0.0593558,0.0030865,
d046_c02,13,16,4,0.134013,0.104833,0.00545134,
d046_c03,23,25,3,0.0749541,0.0404083,0.00210123,
d046_c03b,22,24,3,0.102357,0.0870283,0.00452547,
d046_c04,17,28,18,0.717022,0.728353,0.0378744,
d046_c05,6,8,3,0.0937393,0.0797586,0.00414744,
d046_c06,15,17,3,0.0897431,0.0710644,0.00369535,
d046_c07,14,15,2,0.0857285,0.0822519,0.0042771,
d046_c08,33,38,6,0.239996,0.226004,0.0117522,
d046_c09,39,40,2,0.0538282,0.0382178,0.00198733,
d046_c10,31,38,11,0.491197,0.613203,0.0318866,
d046_c11,39,41,3,0.0768442,0.0571721,0.00297295,
d046_c12a,46,48,3,0.0676542,0.0397837,0.00206875,
d046_c12b,35,36,2,0.0449443,0.0268743,0.00139747,
d046_c13,57,59,4,0.106127,0.0784653,0.0040802,
d046_c14,64,67,4,0.0967674,0.0645811,0.00335822,
d046_c15,64,69,7,0.388775,0.535468,0.0278443,
d046_c16_shaft_symmetric,75,80,6,0.264332,0.252914,0.0131515,
d046_c17,79,92,16,0.807178,0.973077,0.0506,
d046_c18,95,97,3,0.102544,0.0957502,0.00497901,
d046_c19a,96,99,4,0.125998,0.109476,0.00569274,
d046_c19b,103,104,2,0.0496375,0.0351446,0.00182752,
d046_c20,88,90,3,0.100663,0.0965789,0.0050221,
d046_c21,100,105,6,0.168453,0.127817,0.00664649,
d046_c22,117,119,3,0.0767359,0.0537884,0.002797,
d046_c23,91,95,5,0.406782,0.981299,0.0510276,
d046_c24,118,120,3,0.128209,0.150505,0.00782628,
d046_c25,126,128,3,0.090728,0.0749636,0.00389811,
d046_c26,129,132,4,0.155654,0.166513,0.00865865,
d046_c27,120,123,4,0.163673,0.180095,0.00936495,
d046_c28,133,136,4,0.102998,0.074572,0.00387775,
d046_c29,135,137,3,0.122903,0.130961,0.00680996,
d046_c30,143,146,4,0.123898,0.102585,0.00533441,
d046_c31a,138,140,3,0.0875001,0.0696355,0.00362105,
