section,Trace,Comment,Length,Area,Thickness,
1,d046,,2.60985,0.430167,0.052,
1,D046,,0.850281,0.0549726,0.052,
1,d046_c01,,0.626481,0.0296779,0.052,
1,d046_c36,,0.881928,0.0535724,0.052,
1,d046_c36,,0.657246,0.0315748,0.052,
1,d046_cfa01_inc,,0.195747,0,0.052,
1,d046_cfa36_inc,,0.184785,0,0.052,
1,d046_cfa36_inc,,0.349789,0,0.052,
1,d046_checked,,0.085979,0.000101848,0.052,
1,d046_o36_incomplete,,0.0881667,0.000373492,0.052,
1,d046_p01_branched_incomplete,,1.02979,0.0668149,0.052,
1,d046_p01_branched_incomplete,,0.451523,0.0154345,0.052,
1,d046_p36_incomplete,,2.62833,0.192502,0.052,
2,d046,,2.84031,0.514834,0.052,
2,D046,,0.770683,0.0458655,0.052,
2,d046_c01,,0.626481,0.0296779,0.052,
2,d046_c36,,0.950779,0.0647447,0.052,
2,d046_cfa36_inc,,0.373994,0,0.052,
2,d046_checked,,0.085979,0.000101848,0.052,
2,d046_checked,,0.134968,0.000250135,0.052,
2,d046_o01_branched_incomplete,,0.0707901,0.000240794,0.052,
2,d046_o36_incomplete,,0.0881667,0.000373492,0.052,
2,d046_p01_branched_incomplete,,1.05775,0.0689286,0.052,
2,d046_p01_branched_incomplete,,0.526374,0.0208612,0.052,
2,d046_p36_incomplete,,2.00625,0.160691,0.052,
3,d046,,2.76278,0.482482,0.052,
3,D046,,0.792415,0.048797,0.052,
3,d046_c36,,0.504519,0.0181323,0.052,
3,d046_cfa36_inc,,0.173607,0,0.052,
3,d046_checked,,0.0860685,0.000102535,0.052,
3,d046_checked,,0.134868,0.000251317,0.052,
3,d046_o01_branched_incomplete,,0.0707901,0.000240794,0.052,
3,d046_o36_incomplete,,0.0881667,0.000373492,0.052,
3,d046_p01_branched_incomplete,,1.00932,0.0617032,0.052,
3,d046_p01_branched_incomplete,,0.809077,0.041259,0.052,
3,d046_p36_incomplete,,1.81176,0.139026,0.052,
4,d046,,2.64448,0.444977,0.052,
4,D046,,0.766118,0.0458202,0.052,
4,d046_checked,,0.134984,0.000250063,0.052,
4,d046_o01_branched_incomplete,,0.0707901,0.000240794,0.052,
4,d046_p01_branched_incomplete,,1.34724,0.0938791,0.052,
4,d046_p01_branched_incomplete,,0.8755,0.047223,0.052,
4,d046_p36_incomplete,,1.5192,0.0921358,0.052,
5,d046,,2.48621,0.41035,0.052,
5,D046,,0.633059,0.0295303,0.052,
5,d046_o01_branched_incomplete,,0.0707901,0.000240794,0.052,
5,d046_p01_branched_incomplete,,2.20559,0.140992,0.052,
5,d046_p05,,0.580883,0.0204594,0.052,
5,d046_p36_incomplete,,1.25615,0.0631079,0.052,
6,d046,,2.66027,0.419394,0.052,
6,D046,,0.652084,0.0335787,0.052,
6,d046_c05,,0.515164,0.0198899,0.052,
6,d046_cfa05,,0.163108,0,0.052,
6,d046_checked,,0.134463,0.000248988,0.052,
6,d046_o01_branched_incomplete,,0.0707901,0.000240794,0.052,
6,d046_p01_branched_incomplete,,0.382165,0.00717725,0.052,
6,d046_p01_branched_incomplete,,0.789891,0.0356458,0.052,
6,d046_p05,,0.780889,0.0388079,0.052,
6,d046_p36_incomplete,,0.963282,0.0382645,0.052,
7,d046,,2.50283,0.387966,0.052,
7,D046,,0.690595,0.0376939,0.052,
7,d046_c05,,0.667938,0.0330117,0.052,
7,d046_cfa05,,0.237581,0,0.052,
7,d046_checked,,0.0929005,0.000118376,0.052,
7,d046_o02,,0.0972385,0.000454387,0.052,
7,d046_p02,,0.236615,0.00387422,0.052,
7,d046_p05,,0.95983,0.063596,0.052,
7,d046_p36_incomplete,,0.563784,0.0179158,0.052,
8,d046,,0.0006,0,0.052,
8,d046,,2.39417,0.380213,0.052,
8,D046,,0.727584,0.0412374,0.052,
8,d046_c05,,0.619578,0.026857,0.052,
8,d046_cfa05,,0.198623,0,0.052,
8,d046_checked,,0.0929005,0.000118376,0.052,
8,d046_o02,,0.0972385,0.000454388,0.052,
8,d046_p02,,0.354854,0.00584389,0.052,
8,d046_p05,,1.19397,0.0783781,0.052,
9,d046,,2.45017,0.379667,0.052,
9,D046,,0.734999,0.0429094,0.052,
9,d046_c37,,0.36226,0.00951676,0.052,
9,d046_cfa37,,0.106605,0,0.052,
9,d046_checked,,0.0929005,0.000118375,0.052,
9,d046_o02,,0.0972385,0.000454387,0.052,
9,d046_p02,,0.530585,0.0146855,0.052,
9,d046_p05,,1.15969,0.0722103,0.052,
9,d046_p37,,0.557639,0.0199636,0.052,
10,d046,,2.492,0.3933,0.052,
10,D046,,0.683649,0.0371165,0.052,
10,d046_c37,,0.500462,0.0185031,0.052,
10,d046_cfa37,,0.166939,0,0.052,
10,d046_checked,,0.0925571,0.000119115,0.052,
10,d046_o02,,0.0970906,0.000452945,0.052,
10,d046_p02,,0.938112,0.039553,0.052,
10,d046_p05,,1.00725,0.0631863,0.052,
10,d046_p37,,0.716739,0.0304456,0.052,
11,d046,,2.58479,0.422001,0.052,
11,D046,,0.770652,0.0471421,0.052,
11,d046_c37,,0.464829,0.016055,0.052,
11,d046_cfa37,,0.153902,0,0.052,
11,d046_checked,,0.0925571,0.000119115,0.052,
11,d046_o02,,0.0972385,0.000454388,0.052,
11,d046_p02,,1.14591,0.0664761,0.052,
11,d046_p05,,0.876269,0.0473496,0.052,
11,d046_p37,,0.800566,0.0387904,0.052,
12,d046,,2.68586,0.448512,0.052,
12,D046,,0.704611,0.0391787,0.052,
12,d046_checked,,0.0929334,0.000118437,0.052,
12,d046_o02,,0.0972385,0.000454388,0.052,
12,d046_p02,,1.21509,0.0853541,0.052,
12,d046_p05,,0.768774,0.0350948,0.052,
12,d046_p37,,0.793084,0.043959,0.052,
13,d046,,2.7227,0.429926,0.052,
13,D046,,0.730092,0.0421449,0.052,
13,d046_c02,,0.664129,0.0284993,0.052,
13,d046_cfa02,,0.215039,0,0.052,
13,d046_checked,,0.0926011,0.000117463,0.052,
13,d046_o02,,0.0972385,0.000454387,0.052,
13,d046_p02,,1.07193,0.0815463,0.052,
13,d046_p04,,1.30363,0.111795,0.052,
13,d046_p05,,0.611565,0.0199572,0.052,
13,d046_p37,,0.688959,0.0329371,0.052,
14,d046,,2.67147,0.390775,0.052,
14,D046,,0.651538,0.0335095,0.052,
14,d046_c02,,0.680963,0.0291269,0.052,
14,d046_c07,,0.827797,0.0384584,0.052,
14,d046_cfa02,,0.271416,0,0.052,
14,d046_cfa07,,0.326343,0,0.052,
14,d046_p02,,1.07257,0.0790199,0.052,
14,d046_p04,,1.61459,0.15989,0.052,
14,d046_p05,,0.581338,0.0162666,0.052,
14,d046_p07,,0.940192,0.0448112,0.052,
14,d046_p37,,0.645684,0.0272161,0.052,
15,d046,,2.7131,0.379237,0.052,
15,D046,,0.709452,0.0394011,0.052,
15,d046_c02,,0.7366,0.0297782,0.052,
15,d046_c06,,0.53842,0.0202803,0.052,
15,d046_c07,,0.820828,0.0437935,0.052,
15,d046_cfa02,,0.302578,0,0.052,
15,d046_cfa06,,0.147211,0,0.052,
15,d046_cfa07,,0.694536,0.0227757,0.052,
15,d046_p02,,0.925534,0.0504509,0.052,
15,d046_p04,,2.0215,0.171302,0.052,
15,d046_p05,,0.429986,0.0115909,0.052,
15,d046_p06,,0.64176,0.0287651,0.052,
15,d046_p07,,1.26607,0.0930521,0.052,
15,d046_p37,,0.582565,0.019823,0.052,
16,d046,,2.84565,0.396511,0.052,
16,D046,,0.773929,0.0473781,0.052,
16,d046_c02,,0.495473,0.0174291,0.052,
16,d046_c06,,0.600341,0.0256239,0.052,
16,d046_cfa02,,0.146646,0,0.052,
16,d046_cfa06,,0.171364,0,0.052,
16,d046_p02,,0.75471,0.029987,0.052,
16,d046_p04,,2.13988,0.183866,0.052,
16,d046_p05,,0.452577,0.0124542,0.052,
16,d046_p06,,0.76397,0.043234,0.052,
16,d046_p07,,1.50716,0.108553,0.052,
16,d046_p37,,0.412593,0.0112887,0.052,
17,d046,,2.63452,0.400678,0.052,
17,D046,,0.769966,0.0469285,0.052,
17,d046_c04,,1.01032,0.0683904,0.052,
17,d046_c06,,0.587067,0.0251602,0.052,
17,d046_cfa04,,0.407756,0,0.052,
17,d046_cfa06,,0.442449,0.0118427,0.052,
17,d046_p04,,2.16399,0.198343,0.052,
17,d046_p05,,0.450496,0.0129029,0.052,
17,d046_p06,,1.03492,0.0707845,0.052,
17,d046_p07,,1.60481,0.104198,0.052,
17,d046_p37,,0.475492,0.0149139,0.052,
18,d046,,2.7918,0.417388,0.052,
18,D046,,0.707893,0.039776,0.052,
18,d046_c04,,1.07793,0.057156,0.052,
18,d046_cfa04,,0.477486,0,0.052,
18,d046_checked,,0.163221,0.000367034,0.052,
18,d046_o03_multi,,0.0765847,0.000281852,0.052,
18,d046_p04,,2.32737,0.201094,0.052,
18,d046_p05,,0.574904,0.0218374,0.052,
18,d046_p06,,1.24179,0.0867452,0.052,
18,d046_p07,,0.5479,0.0191607,0.052,
18,d046_p07,,0.564486,0.0227006,0.052,
18,d046_p37,,0.560666,0.0193057,0.052,
19,d046,,2.79211,0.431741,0.052,
19,D046,,0.777543,0.0479276,0.052,
19,d046_c04,,1.24533,0.0908639,0.052,
19,d046_cfa04,,0.5522,0,0.052,
19,d046_checked,,0.140321,0.000272011,0.052,
19,d046_checked,,0.163012,0.000366947,0.052,
19,d046_o03_multi,,0.0765847,0.000281852,0.052,
19,d046_o04,,0.0766022,0.000281976,0.052,
19,d046_p03,,0.715429,0.0192226,0.052,
