Object,Start,End,Count,Surface area,Flat area,Volume,
d01,1,185,185,22.4911,45.0255,2.70153,
d01__cluster1begin,108,108,1,0.0611278,0.0587818,0.00352691,
d01__cluster1end,163,163,1,0.0795638,0.095005,0.0057003,
d01__teamsymmquestionrb22,130,131,2,0.0612463,0.0414361,0.00248617,
d01__teamsymmquestionrb24,136,136,1,0.0299931,0.0181988,0.00109193,
d01__teamsymmquestionrb28,156,160,5,0.128849,0.0763392,0.00458035,
d01_cl00_asyn,108,110,3,0.371021,0.805532,0.0483319,
d01_cl01_syn,110,120,11,2.34858,4.24043,0.254426,
d01_cl02_asyn,120,127,8,0.953012,1.76047,0.105628,
d01_cl03_syn_symm,127,150,24,4.53366,8.67837,0.520702,
d01_cl04_asyn,150,153,4,0.53518,1.35424,0.0812546,
d01_cl05_syn,153,161,9,1.63564,3.77102,0.226261,
d01_cl06_asyn,161,163,3,0.517997,1.21047,0.072628,
d01_scalecube,50,50,1,0.0888672,0.0761674,0.00457005,
d01_sp01,2,21,20,0.892193,0.71273,0.0427638,
d01_sp02,22,29,10,0.579557,0.540201,0.0324121,
d01_sp03,25,32,9,0.824566,0.770582,0.0462349,
d01_sp04,35,49,15,0.714956,0.427492,0.0256495,
d01_sp05,36,49,14,0.883791,0.805181,0.0483109,
d01_sp06,39,49,13,0.788905,0.743056,0.0445833,
d01_sp07,40,50,11,0.418487,0.268932,0.0161359,
d01_sp08,51,57,7,0.383572,0.355248,0.0213149,
d01_sp09,51,57,11,0.503328,0.411819,0.0247092,
d01_sp10,54,69,16,0.553124,0.344511,0.0206707,
d01_sp11,52,63,12,0.596138,0.435024,0.0261014,
d01_sp12,57,74,21,1.93046,1.72918,0.103751,
d01_sp13,68,76,11,0.92144,1.09319,0.0655915,
d01_sp14,75,90,18,1.94777,2.1764,0.130584,
d01_sp15,75,86,15,1.98794,2.22545,0.133527,
d01_sp16,66,89,25,1.54271,1.81464,0.108878,
d01_sp17,95,109,16,1.7844,2.35681,0.141409,
d01_sp18,111,119,14,1.54544,2.12503,0.127502,
d01_sp19_branched,107,124,23,1.53929,1.42509,0.0855054,
d01_sp20,113,123,14,0.657568,0.444145,0.0266487,
d01_sp22,118,132,16,1.69649,2.81036,0.168621,
d01_sp23,128,138,13,0.918659,0.8206,0.049236,
d01_sp24,131,151,22,2.68672,4.06953,0.244172,
d01_sp26,129,142,15,0.858654,0.877958,0.0526775,
d01_sp27,140,150,18,1.02343,0.809131,0.0485479,
d01_sp28_branched,141,157,23,1.32529,1.18566,0.0711398,
d01_sp29,152,159,9,0.599186,0.450734,0.027044,
d01_sp30,161,168,8,0.606564,0.636671,0.0382003,
d01_sp31,174,180,8,0.600771,0.491313,0.0294788,
d01_sp32_INC,179,185,8,0.927677,1.35117,0.0810703,
d01_sp33,68,74,10,0.496298,0.325553,0.0195332,
d01_sp34,135,140,7,0.369954,0.244427,0.0146656,
d01_sp35_INC,1,11,16,1.54654,1.97394,0.118436,
d01ax01ssvda,5,11,17,0.0490158,0.00188649,0.00011319,
d01ax01ssvr,2,13,112,0.322919,0.012428,0.00074568,
d01ax02ssvda,23,26,16,0.0491628,0.00201644,0.000120986,
d01ax02ssvdb,26,26,2,0.00614489,0.000252016,1.5121e-05,
d01ax02ssvr,19,26,166,0.510654,0.0209701,0.00125821,
d01ax03ssvda,25,30,18,0.0555892,0.0022916,0.000137496,
d01ax03ssvdb,23,30,25,0.0772041,0.00318254,0.000190952,
d01ax03ssvr,14,42,483,1.49166,0.0614933,0.0036896,
d01ax04ssvda,36,40,16,0.0593073,0.00293446,0.000176068,
d01ax04ssvr,30,44,171,0.633802,0.0313576,0.00188146,
d01ax05b2c01,72,77,6,0.193941,0.0641912,0.00385147,
d01ax05b2cfa01,72,77,6,0.0876529,0.0876529,0,
d01ax05b2ssvd,73,76,6,0.0338325,0.00331203,0.000198722,
d01ax05b2ssvr,73,81,105,0.592077,0.0579623,0.00347774,
d01ax05ssvda,40,42,7,0.0266217,0.00175773,0.000105464,
d01ax05ssvdb,28,31,12,0.0456398,0.00301358,0.000180815,
d01ax05ssvr,27,41,322,1.22467,0.0808651,0.00485191,
d01ax06b2c01,97,100,4,0.179891,0.0623763,0.00374258,
d01ax06b2cfa01,97,100,4,0.0823975,0.0823975,0,
d01ax06b2ssvd1,97,97,1,0.00647172,0.000727139,4.36283e-05,
d01ax06b2ssvd2,98,98,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr1,98,98,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr10,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr11,95,95,1,0.00647172,0.000727139,4.36283e-05,
d01ax06b2ssvr12,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr13,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr14,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr15,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr16,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr17,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr18,95,95,1,0.00647172,0.000727139,4.36283e-05,
d01ax06b2ssvr19,95,95,1,0.00647088,0.000726948,4.36169e-05,
d01ax06b2ssvr2,98,98,1,0.00647088,0.000726948,4.36169e-05,
