Object,Start,End,Count,Surface area,Flat area,Volume,
d07_p05_3D,5,22,23,1.09218,0.831265,0.0498759,
d07_p05a,12,16,5,0.248882,0.230797,0.0138478,
d07_p05b,12,23,12,0.487309,0.356482,0.0213889,
d07_p06_INC,1,12,21,1.98312,1.80435,0.108261,
d07_p07,23,30,10,0.612382,0.45354,0.0272124,
d07_p08,23,38,17,1.01953,0.954965,0.0572979,
d07_p09,21,39,21,0.689307,0.412431,0.0247459,
d07_p10,40,56,17,0.678439,0.475791,0.0285475,
d07_p11_3D,33,49,21,1.09278,0.827157,0.0496294,
d07_p12,32,47,17,1.48953,1.46689,0.0880135,
d07_p13_3D,56,64,13,0.838071,0.768052,0.0460831,
d07_p14,54,62,9,0.390273,0.301502,0.0180901,
d07_p15,72,86,17,1.50269,1.94057,0.116434,
d07_p16,75,88,15,1.21089,1.14719,0.0688316,
d07_p17,75,80,10,0.611307,0.461873,0.0277124,
d07_p18,79,84,9,0.646928,0.546117,0.032767,
d07_p19,83,89,7,0.388226,0.322592,0.0193555,
d07_p20,88,94,9,0.723242,0.958077,0.0574846,
d07_p21,94,101,10,0.612315,0.671727,0.0403036,
d07_p22,92,105,16,0.910635,0.79909,0.0479454,
d07_p23,93,106,16,0.803576,0.572391,0.0343435,
d07_p24_3D,106,115,15,1.33002,1.17281,0.0703687,
d07_p25_3D,101,118,20,1.25502,1.17545,0.0705272,
d07_p26,112,121,12,0.866952,0.845203,0.0507122,
d07_p27_INC,118,131,14,1.74151,2.16035,0.129621,
d07_p28,118,133,16,2.44362,3.47024,0.208214,
d07_p29,126,136,11,0.571225,0.512803,0.0307682,
d07_p30_INC,136,141,8,0.666906,0.506418,0.0303851,
d07_p31,138,144,7,0.400682,0.359746,0.0215848,
d07_p32_INC,132,152,22,2.32472,2.61745,0.157047,
d07_p33_INC,170,185,24,1.24826,0.919396,0.0551638,
d07_p34_INC,172,178,11,0.620173,0.563475,0.0338085,
d07_p35_INC,179,185,7,0.226186,0.108539,0.00651236,
d07_p36,15,29,19,1.00115,0.89144,0.0534864,
d07_p37,17,28,12,0.49285,0.409692,0.0245815,
d07_p38,35,43,9,0.477134,0.404008,0.0242405,
d07_p40,102,105,4,0.164307,0.0883193,0.00529916,
d07_scale,84,84,1,0.065334,0.0242413,0.00145448,
d07endo15?,81,81,1,0.0313965,0.0217046,0.00130228,
d07r08_MAYBEYES PR-DDHPHP,34,35,2,0.0419143,0.0194272,0.00116563,
d07r36_NO-DDHPHP,21,22,2,0.0347923,0.0128934,0.000773606,
d07rsexclude01_MAYBEYES PR-DDHPHP,5,7,3,0.0536618,0.0223882,0.00134329,
d07sab15-MAYBEYES-DDHPHP-ASK MASA,74,79,6,0.0483376,0.00375616,0.00022537,
d07sab28-NO ENDO-DDH-PHP,125,132,8,0.0644484,0.00500719,0.000300431,
d07ser04_YES-DDHPHP,3,7,5,0.0393132,0.00298133,0.00017888,
d07ser05_YES-DDH-PHP,7,11,5,0.0402804,0.00313,0.0001878,
d07ser11_YES-DDH-PHP,43,43,1,0.00805656,0.000626036,3.75621e-05,
d07ser12_YES-DDH-PHP,39,43,5,0.0402814,0.00313013,0.000187808,
d07ser13_YES SER - MAYBE SAN-DDH-PHP - ASK MASA,57,58,2,0.0161131,0.00125207,7.51243e-05,
d07ser17,75,77,3,0.0268416,0.00231608,0.000138965,
d07ser20_YES SER-DDH-PHP,89,91,3,0.0241692,0.00187791,0.000112674,
d07ser23_YES-DDH-PHP,100,103,4,0.0322262,0.00250414,0.000150249,
d07zlen_,108,108,1,0.0004776,2.9601e-06,1.77606e-07,
