Object,Start,End,Count,Surface area,Flat area,Volume,
d08,1,185,185,23.0515,42.1525,2.52915,
d08__cluster1begin,52,52,1,0.0590211,0.0727273,0.00436364,
d08__cluster1end,160,160,1,0.0478303,0.0414128,0.00248477,
d08_ax01_c01_sym,77,83,6,0.159506,0.0540857,0.00324514,
d08_ax01_sym,61,123,65,7.9884,12.9286,0.775713,
d08_c01_sym,111,113,4,0.124561,0.058323,0.00349938,
d08_c02_asym,117,119,3,0.16653,0.154747,0.00928481,
d08_c03,7,9,3,0.0532694,0.0183076,0.00109845,
d08_c04,20,21,2,0.0458661,0.0198535,0.00119121,
d08_c05,17,23,11,0.345007,0.176943,0.0106166,
d08_c06,29,30,2,0.0303352,0.00927212,0.000556327,
d08_c07,26,27,2,0.0490972,0.0240075,0.00144045,
d08_c08,22,24,3,0.0871796,0.0493139,0.00295883,
d08_c09,32,34,3,0.0612986,0.0258874,0.00155324,
d08_c11,61,63,3,0.251247,0.266755,0.0160053,
d08_c12,68,76,16,0.534287,0.334263,0.0200558,
d08_c13,80,82,3,0.0973283,0.0583648,0.00350189,
d08_c14,81,85,5,0.193724,0.12061,0.00723661,
d08_c15,89,93,5,0.191058,0.126133,0.00756796,
d08_c16,128,131,4,0.172027,0.141417,0.008485,
d08_c17,138,141,4,0.193569,0.148412,0.0089047,
d08_c18,146,147,2,0.0764318,0.0575709,0.00345425,
d08_c20,155,158,4,0.104617,0.0552615,0.00331569,
d08_c21,161,165,5,0.197427,0.148577,0.00891463,
d08_c22,158,165,12,0.456146,0.350944,0.0210566,
d08_c23,181,185,5,0.182569,0.132116,0.00792694,
d08_c25,8,11,4,0.117274,0.0618404,0.00371042,
d08_c26_sym,70,72,3,0.0753603,0.0332852,0.00199711,
d08_c27_asym,109,112,4,0.166311,0.111906,0.00671437,
d08_c28,53,54,2,0.0445627,0.0204504,0.00122703,
d08_cfa01_sym,111,113,4,0.0451133,0.0451133,0,
d08_cfa02_asym,117,119,3,0.0803116,0.0659305,0.00176356,
d08_cfa03,7,9,3,0.0167092,0.0167092,0,
d08_cfa04,20,21,2,0.0158803,0.0158803,0,
d08_cfa05,17,23,11,0.132236,0.132236,0,
d08_cfa06,29,30,2,0.00891643,0.00891643,0,
d08_cfa07,26,27,2,0.0243318,0.0103778,0.000457347,
d08_cfa08,22,24,3,0.0291053,0.0291053,0,
d08_cfa09,32,33,2,0.0245081,0.011419,0.000456829,
d08_cfa11,61,62,3,0.176209,0.125054,0.00605403,
d08_cfa12,68,76,16,0.191373,0.191373,0,
d08_cfa13,80,82,3,0.0328631,0.0328631,0,
d08_cfa14,81,85,5,0.0741848,0.0741848,0,
d08_cfa15,90,93,5,0.0790397,0.0653709,0.000770151,
d08_cfa16,129,131,3,0.0818775,0.0466604,0.00195279,
d08_cfa17,138,140,3,0.0782916,0.0558764,0.00144378,
d08_cfa18,146,147,2,0.0242154,0.0242154,0,
d08_cfa20,155,158,4,0.030507,0.030507,0,
d08_cfa21,161,165,5,0.0681637,0.0681637,0,
d08_cfa22,158,165,12,0.150632,0.150632,0,
d08_cfa23,181,185,5,0.0627841,0.0627841,0,
d08_cfa25,8,11,4,0.0403156,0.0403156,0,
d08_cfa26,70,72,3,0.0258822,0.0258822,0,
d08_cfa27_asym,110,112,3,0.069055,0.0492029,0.00129363,
d08_cfa28,53,54,2,0.0214876,0.00932672,0.000310996,
d08_INC,180,180,1,0.0678028,0.017589,0.00105534,
d08_missedspine,51,51,1,0.0452514,0.0437727,0.00262636,
d08_MT,68,69,22,0.0544954,0.00281466,0.00016888,
d08_o01,111,113,4,0.0217612,0.0015803,9.48181e-05,
d08_o02,114,116,3,0.029604,0.0038995,0.00023397,
d08_o03,4,9,6,0.0327334,0.00238376,0.000143025,
d08_o04,14,16,3,0.0157963,0.00111024,6.66143e-05,
d08_o05,15,24,12,0.0631775,0.0044399,0.000266394,
d08_o06,21,24,4,0.0269616,0.00242585,0.000145551,
d08_o07,22,23,2,0.0168503,0.00189502,0.000113701,
d08_o08,24,26,3,0.0164451,0.00120331,7.21989e-05,
d08_o09,29,32,4,0.0219257,0.00160427,9.62563e-05,
d08_o11,55,58,4,0.0210719,0.00148177,8.89063e-05,
d08_o12,70,76,7,0.0368732,0.00259272,0.000155563,
d08_o13,78,81,4,0.0239937,0.00192116,0.00011527,
d08_o14,83,84,2,0.0119975,0.000960715,5.76429e-05,
d08_o15,89,92,4,0.0239915,0.00192084,0.00011525,
d08_o16,129,130,2,0.0119958,0.000960418,5.76251e-05,
d08_o17,132,136,5,0.0299947,0.00240185,0.000144111,
d08_o18,145,147,3,0.0179968,0.00144111,8.64667e-05,
d08_o20,148,155,8,0.0403586,0.00271776,0.000163065,
d08_o21,161,163,3,0.0148615,0.000982728,5.89637e-05,
d08_o22,164,167,4,0.0151969,0.000770699,4.6242e-05,
d08_o23,180,184,5,0.0220221,0.00129472,7.76831e-05,
d08_o23borderlineinc,185,185,1,0.0584201,0.0745828,0.00447497,
d08_o24,2,4,3,0.00833981,0.000309478,1.85687e-05,
d08_o24_INC,2,4,3,0.0169342,0.000365715,2.19429e-05,
d08_o25,9,10,2,0.0054584,0.000198855,1.19313e-05,
d08_o26,70,72,3,0.0107495,0.000514154,3.08492e-05,
d08_o27,113,114,2,0.00980129,0.000641159,3.84695e-05,
d08_o28,50,51,2,0.00656905,0.000288007,1.72804e-05,
d08_p02,114,119,7,0.89801,1.55199,0.0931193,
d08_p03,4,11,11,0.396576,0.218387,0.0131032,
d08_p04,14,24,11,0.392778,0.216183,0.012971,
d08_p05,14,24,14,1.19985,1.54425,0.0926548,
d08_p06,21,31,12,0.310093,0.144673,0.00868037,
d08_p07,22,31,10,0.288561,0.180541,0.0108325,
d08_p08,22,27,8,0.375633,0.273369,0.0164022,
d08_p09,29,34,7,0.193477,0.0808953,0.00485372,
d08_p11,54,64,14,1.24891,1.89523,0.113714,
d08_p12,66,79,18,1.62687,2.97038,0.178223,
d08_p13,78,85,14,0.784715,0.638879,0.0383327,
d08_p14,79,86,8,0.470036,0.44662,0.0267972,
d08_p15,86,95,12,0.53385,0.49172,0.0295032,
d08_p16,129,133,5,0.328925,0.358715,0.0215229,
d08_p17,134,141,8,0.464171,0.562551,0.0337531,
d08_p18,143,148,6,0.295116,0.276074,0.0165644,
d08_p20,148,160,15,0.823061,0.716266,0.0429759,
d08_p21,157,166,12,0.848847,0.926347,0.0555808,
d08_p22,154,168,18,1.7605,2.81062,0.168637,
d08_p23,179,185,10,0.614757,0.570153,0.0342092,
d08_p25,7,14,8,0.539998,0.508676,0.0305205,
d08_p27,109,114,7,0.482317,0.600117,0.036007,
d08_p28,50,56,9,0.347264,0.233397,0.0140038,
d08_SCALE,113,113,2,0.0934783,0.0446283,0.000883924,
d08_sym01,111,113,3,0.0316297,0.00578958,0.000347375,
d08ostampapprovedbyKH,132,132,1,0.0288004,0.01824,0.0010944,
d08r02 MAYBE DDH-PHP,116,116,1,0.0224374,0.0102356,0.000614138,
d08r17_MAYBE-DDH-PHP,139,139,1,0.0293452,0.0181906,0.00109144,
d08rh13_MAYBE? ask KH,85,85,1,0.0201356,0.00798551,0.00047913,
d08rs02_maybeNO-DDH-PHP,82,82,1,0.0218095,0.0104711,0.000628267,
d08rsexclude01_MAYBE-DDH-PHP,49,49,1,0.0182624,0.00697592,0.000418555,
d08sab11_YES SER-MAYBE SA-DDH-PHP ASK MASA,56,59,4,0.0365664,0.00322428,0.000193457,
d08ser02_NO ENDO-DDH-PHP,115,118,4,0.0365664,0.00322377,0.000193426,
d08ser12_MAYBE-ENDO-DDH-php,69,75,7,0.0639894,0.00564234,0.000338541,
