section,Trace,Comment,Length,Area,Thickness,
1,d08,,2.10602,0.185343,0.06,
2,d08,,1.9952,0.170625,0.06,
2,d08_o24,,0.0463323,0.000103159,0.06,
2,d08_o24_INC,,0.0940791,0.000121905,0.06,
3,d08,,2.06703,0.178496,0.06,
3,d08_o24,,0.0463323,0.000103159,0.06,
3,d08_o24_INC,,0.0940791,0.000121905,0.06,
4,d08,,2.07033,0.186793,0.06,
4,d08_o03,,0.0909262,0.000397293,0.06,
4,d08_o24,,0.0463323,0.000103159,0.06,
4,d08_o24_INC,,0.0940791,0.000121905,0.06,
4,d08_p03,,0.344045,0.00620497,0.06,
5,d08,,1.88433,0.182389,0.06,
5,d08_o03,,0.0909262,0.000397293,0.06,
5,d08_p03,,0.605891,0.0172325,0.06,
6,d08,,1.90591,0.192624,0.06,
6,d08_o03,,0.0909262,0.000397293,0.06,
6,d08_p03,,0.336213,0.00610162,0.06,
6,d08_p03,,0.617311,0.0179236,0.06,
7,d08,,2.03274,0.210785,0.06,
7,d08_c03,,0.265717,0.00477365,0.06,
7,d08_cfa03,,0.083308,0,0.06,
7,d08_o03,,0.0909262,0.000397293,0.06,
7,d08_p03,,1.75849,0.0733412,0.06,
7,d08_p25,,0.294265,0.00579183,0.06,
8,d08,,2.36565,0.264192,0.06,
8,d08_c03,,0.373519,0.00904484,0.06,
8,d08_c25,,0.561214,0.018549,0.06,
8,d08_cfa03,,0.125138,0,0.06,
8,d08_cfa25,,0.213165,0,0.06,
8,d08_o03,,0.0909262,0.000397293,0.06,
8,d08_p03,,0.61677,0.026576,0.06,
8,d08_p03,,0.737904,0.0218339,0.06,
8,d08_p25,,0.784398,0.0328133,0.06,
9,d08,,2.34384,0.277225,0.06,
9,d08_c03,,0.248588,0.00448908,0.06,
9,d08_c25,,0.598833,0.0213352,0.06,
9,d08_cfa03,,0.0700398,0,0.06,
9,d08_cfa25,,0.220594,0,0.06,
9,d08_o03,,0.0909262,0.000397293,0.06,
9,d08_o25,,0.0454867,9.94275e-05,0.06,
9,d08_p03,,0.369944,0.00707327,0.06,
9,d08_p03,,0.598763,0.0249702,0.06,
9,d08_p25,,1.69082,0.0872133,0.06,
10,d08,,2.37884,0.264333,0.06,
10,d08_c25,,0.466514,0.0142677,0.06,
10,d08_cfa25,,0.144358,0,0.06,
10,d08_o25,,0.0454867,9.94275e-05,0.06,
10,d08_p03,,0.460177,0.0150897,0.06,
